code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
"Fatal(http.ListenAndServe("":8000"", nil)",repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/examples/viewer/main.go#L53
HTML,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/structeditor/render.go#L28
HTTP,repo,README.md,-,-,-,-,-,-,5,5,5,5,5,5,5,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/structeditor/http.go#L22
MutateHandler,repo,README.md,-,-,-,-,-,-,5,5,5,5,5,5,5,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/structeditor/http.go#L36
"ServeEditor(demoData, ""/"", http.DefaultServeMux)",repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/examples/viewer/main.go#L51
TODO,repo,README.md,0,1,1,1,1,1,-,-,-,-,-,-,-,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/26cdb5566156b624e53b26c231f9486b4ea09dce/static.go#L44
UI,repo,README.md,1,1,1,1,1,1,4,4,4,4,4,4,4,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/structeditor/http.go#L37
ViewHandler,repo,README.md,-,-,-,-,-,-,6,6,6,6,6,6,6,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/structeditor/http.go#L24
demoData,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,3,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/examples/viewer/main.go#L36
editor,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,17,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/structeditor/render_test.go#L84
examples,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/examples/editor/main.go#L36
viewer,repo,README.md,-,-,-,-,-,-,3,3,3,3,3,3,-,https://github.com/google/go-structeditor/blob/5c4dcaa12918180ad90be73f63eb0df3a46b74e8/README.md,https://github.com/google/go-structeditor/blob/7bc11d926dff36b8b4d2afd5dcc4b6e1fcc8161a/examples/editor/main.go#L36
