code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
.generateKeyPair(isAuth),repo,README.md,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/README.md#L155
.getDecrypterManager(),repo,README.md,-,-,-,7,7,7,7,7,7,7,7,7,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/android/src/main/java/com/google/capillary/demo/android/DeviceUnlockedBroadcastReceiver.java#L51
ACTION_USER_PRESENT,repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/android/src/main/java/com/google/capillary/demo/android/MainActivity.java#L156
API,repo,README.md,-,-,21,21,21,21,21,21,21,21,21,21,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/test/java/com/google/capillary/android/DecrypterManagerTest.java#L125
CapillaryHandler,repo,README.md,-,-,-,37,37,37,37,37,37,37,37,37,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/test/java/com/google/capillary/android/DecrypterManagerTest.java#L61
Config.initialize(),repo,README.md,-,-,-,9,9,9,9,9,9,9,9,9,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/WebPushEncrypterManagerTest.java#L40
DemoCapillaryHandler,repo,README.md,-,-,-,15,15,15,15,15,15,15,15,15,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/android/src/main/java/com/google/capillary/demo/android/MainActivity.java#L77
DeviceUnlockedBroadcastReceiver,repo,README.md,-,-,-,6,6,6,6,6,6,6,6,6,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/android/src/main/java/com/google/capillary/demo/android/MainActivity.java#L78
EC,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/resources/tls/init_tls.cnf#L10
ECDH,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/main/java/com/google/capillary/android/WebPushKeyManager.java#L100
ECDSA,repo,README.md,-,-,43,43,43,43,43,43,43,43,43,43,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/tools/src/main/java/com/google/capillary/tools/EcdsaKeyPairGenerator.java#L37
EncrypterManager,repo,README.md,-,-,-,25,25,25,25,25,25,25,25,25,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/EncrypterManagerTest.java#L45
FCM,repo,README.md,-,-,27,27,27,27,27,27,27,27,27,27,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/server/src/main/java/com/google/capillary/demo/server/FcmSender.java#L35
ID,repo,README.md,-,-,-,27,27,27,27,27,27,27,27,27,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/main/java/com/google/capillary/android/WebPushKeyManager.java#L75
InputStream,repo,README.md,-,-,-,33,33,33,33,33,33,33,33,33,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/TestUtils.java#L28
JSON,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/server/src/main/java/com/google/capillary/demo/server/FcmSender.java#L66
KeyManager,repo,README.md,-,-,-,58,58,58,58,58,58,58,58,58,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/test/java/com/google/capillary/android/KeyManagerTest.java#L38
KitKat,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/README.md#L6
NoAuth,repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/main/java/com/google/capillary/android/KeyManager.java#L122
RFC,repo,README.md,-,-,6,6,6,0,0,0,0,0,0,0,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/ac6a1a5685e204f41025113e2619e2c189b28487/lib/src/main/java/com/google/capillary/tink/WebPushHybridEncrypt.java#L35
RSA,repo,README.md,-,-,62,62,62,62,62,62,62,62,62,62,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/TestUtils.java#L56
RsaEcdsaEncrypterManager,repo,README.md,-,-,-,7,7,7,7,7,7,7,7,7,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/RsaEcdsaEncrypterManagerTest.java#L35
RsaEcdsaEncrypterManager(senderSigningKey),repo,README.md,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/androidTest/java/com/google/capillary/android/IntegrationTest.java#L78
RsaEcdsaKeyManager,repo,README.md,-,-,-,19,19,19,19,19,19,19,19,19,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/main/java/com/google/capillary/android/RsaEcdsaKeyManager.java#L44
SDK,repo,README.md,-,-,28,1,1,1,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/README.md#L134
WebPushEncrypterManager,repo,README.md,-,-,-,6,6,6,6,6,6,6,6,6,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/WebPushEncrypterManagerTest.java#L34
WebPushEncrypterManager(),repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/src/test/java/com/google/capillary/WebPushEncrypterManagerTest.java#L48
WebPushKeyManager,repo,README.md,-,-,-,19,19,19,19,19,19,19,19,19,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/main/java/com/google/capillary/android/WebPushKeyManager.java#L51
android:1,repo,README.md,-,-,1,1,2,2,3,3,3,3,3,3,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/build.gradle#L47
artifactId,repo,README.md,-,-,0,0,0,0,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib/publish.gradle#L35
authCiphertextSavedForLater,repo,README.md,-,-,-,10,10,10,10,10,10,10,10,10,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/test/java/com/google/capillary/android/DecrypterManagerTest.java#L114
capillary:lib,repo,README.md,-,-,0,0,0,0,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/android/build.gradle#L49
capillary:lib:1,repo,README.md,-,-,0,0,0,0,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/server/build.gradle#L14
"decrypt(ciphertext, handler, extra)",repo,README.md,-,-,-,5,5,5,5,5,5,5,5,5,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/androidTest/java/com/google/capillary/android/IntegrationTest.java#L138
"decryptSaved(handler, extra)",repo,README.md,-,-,-,9,9,9,9,9,9,9,9,9,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/test/java/com/google/capillary/android/DecrypterManagerTest.java#L149
ecdsa_private_key_path,repo,README.md,-,-,-,5,5,5,5,5,5,5,5,5,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/tools/src/main/java/com/google/capillary/tools/EcdsaKeyPairGenerator.java#L42
ecdsa_public_key_path,repo,README.md,-,-,-,3,3,3,3,3,3,3,3,3,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/tools/src/main/java/com/google/capillary/tools/EcdsaKeyPairGenerator.java#L41
generateKeyPairs,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/lib-android/src/main/java/com/google/capillary/android/KeyManager.java#L83
"getInstance(context, keychainId)",repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/README.md#L158
"getInstance(context, keychainId, senderVerificationKey)",repo,README.md,-,-,-,4,4,4,4,4,4,4,4,4,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/README.md,https://github.com/google/capillary/blob/7dda356679c8f90d73048351ea414f22a582a2b2/demo/README.md#L155
