code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
BUILD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,code_element is a file name
CocoaPods,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/8d55fe6c673cc80ea6ce470860573f871412b210/MOLAuthenticatingURLSession.xcodeproj/project.pbxproj#L263
MOLAuthenticatingURLSession,repo,README.md,43,43,43,43,43,43,43,43,43,43,43,43,43,43,45,45,66,66,65,19,19,19,19,19,19,24,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Tests/MOLDERDecoderTest.m#L17
MOLCertificate,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,22,22,22,22,39,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/WORKSPACE#L17
NSString,repo,README.md,41,41,41,41,41,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,44,44,44,44,58,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Tests/MOLDERDecoderTest.m#L21
NSURLSession,repo,README.md,8,8,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Source/MOLAuthenticatingURLSession/MOLAuthenticatingURLSession.m#L45
WORKSPACE,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,code_element is a file name
YES,repo,README.md,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,64,64,84,4,4,4,4,4,4,4,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Source/MOLAuthenticatingURLSession/MOLDERDecoder.m#L197
git_repository,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/WORKSPACE#L3
"load(""@bazel_tools//tools/build_defs/repo:git.bzl"", ""git_repository"")",repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/WORKSPACE#L1
loggingBlock,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Source/MOLAuthenticatingURLSession/MOLAuthenticatingURLSession.m#L467
objc_library,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/BUILD#L7
refusesRedirects,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Source/MOLAuthenticatingURLSession/MOLAuthenticatingURLSession.m#L162
serverHostname,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Source/MOLAuthenticatingURLSession/MOLAuthenticatingURLSession.m#L111
userAgent,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/861430d9ef53734cad683dcfe14e07e0a7b52f48/README.md,https://github.com/google/macops-MOLAuthenticatingURLSession/blob/fcd5ac933a091d85f222d8b4524887b724df9a8b/Source/MOLAuthenticatingURLSession/MOLAuthenticatingURLSession.m#L53
