code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
%k,repo,README.md,.,-,-,-,-,-,-,-,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L99
%u,repo,README.md,.,-,-,-,-,-,-,-,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L99
AuthorizedPrincipalsCommand,repo,README.md,.,-,-,-,-,-,-,-,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L99
CA,repo,README.md,.,-,-,-,-,-,-,-,46,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L13
GRL,repo,README.md,.,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/hiba-ca.sh.1#L130
HIBA,repo,README.md,.,3,28,34,39,58,75,100,113,133,133,133,133,133,133,134,134,134,134,134,134,134,134,134,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/util.h#L2
INSTALL,repo,README.md,.,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/INSTALL.md#L9
OpenSSH,repo,README.md,.,0,0,0,0,1,3,3,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/util.c#L20
SSH,repo,README.md,.,0,2,4,10,13,13,17,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/util.h#L13
authorized_users,repo,README.md,.,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/hiba-chk.1#L61
domain,repo,README.md,.,-,-,-,-,-,-,-,17,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L52
hiba-chk,repo,README.md,.,-,-,-,-,-,-,-,24,45,45,45,45,45,45,45,45,47,47,47,47,47,47,47,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L36
sshd_config,repo,README.md,.,-,-,-,-,-,-,-,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/README.md,https://github.com/google/hiba/blob/478a31b8dbfa2fa0c3649ca6291fb644bb935f79/testdata/setup-local.sh#L77
