code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,doc_link,source_link
<<,repo,README.md,-,77,84,84,84,84,84,84,84,84,84,84,84,84,84,127,127,127,165,165,165,165,165,165,166,167,167,170,170,170,170,170,170,170,170,170,170,170,170,170,170,169,169,169,169,169,169,169,169,169,169,169,169,169,179,179,179,179,179,179,179,179,179,179,179,179,179,179,179,181,181,181,181,181,183,183,183,183,183,183,183,183,183,183,183,183,183,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/test/small_parts.py#L40
>>,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,54,54,54,83,83,83,83,83,83,83,83,83,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,103,103,103,103,103,111,111,111,111,111,111,111,111,111,111,111,111,111,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/small_parts.py#L28
EDA,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/setup.py#L39
GND,repo,README.md,-,14,15,15,15,15,15,15,15,15,15,15,15,15,15,20,20,20,37,37,37,37,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,39,39,39,39,39,39,39,39,39,39,40,40,40,40,40,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,74,74,74,74,74,74,74,74,74,74,74,74,74,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/test/small_parts.py#L47
HTML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/pcbdl/html.py#L32
JellyBean,repo,README.md,-,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,16,16,16,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/test/small_parts.py#L22
"Net(""gnd"")",repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/examples/voltage_divider.py#L23
"Net(""vcc"")",repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/examples/class_a.py#L27
"Net(""vin"")",repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/examples/class_a.py#L34
OS,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/pcbdl/blob/6279b015b16475c9bc30511ecff30f4e08afef9d/README.md,https://github.com/google/pcbdl/blob/d251d191ed3c41baddff704e6131698eb26ee984/setup.py#L37
