code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,doc_link,source_link
AVX,repo,README.md,10,10,10,10,10,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/cpu_check.cc#L477
BUILD_STATIC,repo,README.md,3,3,3,3,3,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/CMakeLists.txt#L22
BoringSSL,repo,README.md,2,2,2,-,-,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/e71781fd7aee8170e9ca3fa48a7d905b7666cd08/cpu_check.cc#L1805
CMAKE_BUILD_TYPE,repo,README.md,3,3,3,3,3,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/CMakeLists.txt#L24
CPU,repo,README.md,14,14,14,13,13,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/vendors/intel/intel.cc#L46
OFF,repo,README.md,4,4,4,2,2,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/CMakeLists.txt#L51
ON,repo,README.md,4,4,4,4,4,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/CMakeLists.txt#L20
OS,repo,README.md,2,2,2,3,3,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/malign_buffer.h#L104
OpenSSL,repo,README.md,3,3,3,3,3,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/CMakeLists.txt#L111
StatusOr,repo,README.md,-,-,-,2,2,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/cpu_check.cc#L301
TODO,repo,README.md,6,6,6,6,6,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/vendors/intel/intel.cc#L91
USE_CLANG,repo,README.md,3,3,3,3,3,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/eab78120395ac7e5d112d2a9e2e87296d964becb/CMakeLists.txt#L20
cpu_check,repo,README.md,15,-,-,-,-,https://github.com/google/cpu-check/blob/601f11a55aa90012dd545921880dd25dc0b5ceb5/README.md,https://github.com/google/cpu-check/blob/fa4b8965d7e78a539cd20fa0f524ff4d930d3ada/cpu_check.cc#L376
