code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,doc_link,source_link
ARGS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/elf_loader.c#L569
elf_loader,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,10,11,11,11,11,11,11,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/tests/run_tests.py#L27
getpid(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,0,0,0,0,0,0,0,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/87d79d2477be4a57e87e379d4cab1aca58ffc2be/TODO.md#L7
make.sh,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,code_element is a file name
mmap(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/ptracer.cc#L62
out_info,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/tests/run_tests.py#L20
out_pages,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/restore.cc#L124
ptrace(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/ptracer.cc#L23
python_example,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/fdfc94d75b8cdd328393bdfa37fa708e4936c06f/tests/run_tests.py#L59
raise(SIGUSR1),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/snappy-start/blob/db2e013ac185a25355c9f90dc830ec45a78f5e04/README.md,https://github.com/google/snappy-start/blob/0a3aed2f47578f4dd0fccf8738d413d92ef7d34c/tests/save_restore_tests.cc#L22
