code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,doc_link,source_link
.build(),repo,README.md,.,.,.,16,16,16,16,16,16,16,16,16,16,16,16,15,20,20,20,20,20,20,15,15,15,15,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/javatests/com/google/callbuilder/WithStyleTest.java#L64
@BuilderField,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/javatests/com/google/callbuilder/WithStyleTest.java#L35
@CallBuilder,repo,README.md,.,.,.,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/javatests/com/google/callbuilder/WithStyleTest.java#L33
@Nullable,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/third_party/jsr-305/src/main/java/javax/annotation/ParametersAreNullableByDefault.java#L26
API,repo,README.md,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,0,0,0,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/5afa2a5e44bc11014d313b8bab60bb711b9e2b51/third_party/junit4/java/org/junit/runner/manipulation/Filter.java#L8
ArrayList<String>,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,2,2,2,2,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/javatests/com/google/callbuilder/WithStyleTest.java#L30
ArrayListAdding,repo,README.md,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/javatests/com/google/callbuilder/WithStyleTest.java#L16
CallBuilder,repo,README.md,.,.,.,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/java/com/google/callbuilder/style/BUILD#L16
ImmutableList<String>,repo,README.md,.,.,.,6,6,6,6,6,6,6,6,6,6,4,4,0,0,0,-,-,-,-,-,-,-,-,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/76269c34e2a09bb90e18deb6c483815f8ca8c8ac/java/com/google/callbuilder/TypeInference.java#L119
ImmutableListAdding,repo,README.md,.,.,.,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,-,-,-,-,-,-,-,-,https://github.com/google/CallBuilder/blob/8ce3d61a1a950ceb6d2704adf9574493aa962d9d/README.md,https://github.com/google/CallBuilder/blob/610cf585420eae09867f5fe89c324ac8734ad9e8/javatests/com/google/callbuilder/WithStyleTest.java#L16
