code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,doc_link,source_link
@override,repo,README.md,29,29,29,29,29,29,29,29,31,31,31,31,31,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/test/provide_test.dart#L441
BuildContext,repo,README.md,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/test/provide_test.dart#L26
ChangeNotifier,repo,README.md,3,3,3,3,3,3,3,3,4,4,4,4,4,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/lib/provide.dart#L448
InheritedWidget,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/lib/provide.dart#L558
Listenable,repo,README.md,-,-,-,21,21,21,21,21,21,21,21,21,21,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/lib/provide.dart#L145
Model,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/test/provide_test.dart#L451
Provide,repo,README.md,-,-,-,17,17,17,17,17,19,20,20,20,20,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/test/provide_test.dart#L147
Provide.stream,repo,README.md,-,-,-,5,5,5,5,5,5,5,5,5,5,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/test/provide_test.dart#L218
Provide.value<Counter>,repo,README.md,-,-,-,0,0,0,0,0,1,1,1,1,1,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/example/lib/main.dart#L92
Provide.value<T>,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/README.md,https://github.com/google/flutter-provide/blob/2375fa7c2b44c64a1852aa455db253f4b0091fd2/lib/provide.dart#L235
