code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,doc_link,source_link
-lvcdcom,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L72
-lvcddec,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L73
-lvcdenc,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L72
./fetch_prereq.bat,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/21d7d0b9c3d0c3ccbdb221c85ae889373f0a2a58/README#L11
./fetch_prereq.sh,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,2,2,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/21d7d0b9c3d0c3ccbdb221c85ae889373f0a2a58/README#L11
.vcproj,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L40
.xcodeproj,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L43
<,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,6851,6851,6851,2441,2441,2447,2451,1649,1649,1590,1590,1590,1590,1590,1600,1600,1600,1600,1600,1600,1600,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/zlib/zlib.h#L208
>,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7280,7280,7281,3586,3587,3587,3590,501,501,239,239,239,239,239,249,249,299,299,299,299,299,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/src/zlib/zconf.h#L99
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,35,35,35,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/open-vcdiff/blob/2b9bd1fe548520e9355e457a134bab7e2f9c56c0/README.md,https://github.com/google/open-vcdiff/blob/868f459a8d815125c2457f8c74b12493853100f9/README#L5
