code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,doc_link,source_link
.isCompatible(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/sample/src/main/java/com/google/archivepatcher/sample/SamplePatchGenerator.java#L27
4GB,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/shared/src/test/java/com/google/archivepatcher/shared/CountingOutputStreamTest.java#L91
ANY,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,111,109,111,111,114,114,114,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/tools/src/main/java/com/google/archivepatcher/tools/PatchExplainerTool.java#L11
API,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/shared/src/main/java/com/google/archivepatcher/shared/DefaultDeflateCompatibilityWindow.java#L62
APPNOTE,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/generator/src/main/java/com/google/archivepatcher/generator/MinimalZipParser.java#L32
AS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,112,110,112,112,115,115,115,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/tools/src/main/java/com/google/archivepatcher/tools/PatchExplainerTool.java#L10
BASIS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,109,107,109,109,112,112,112,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/tools/src/main/java/com/google/archivepatcher/tools/PatchExplainerTool.java#L10
CONDITIONS,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,111,109,111,111,114,114,114,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/tools/src/main/java/com/google/archivepatcher/tools/PatchExplainerTool.java#L11
DefaultDeflateCompatibilityWindow,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,19,19,19,19,19,19,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/sharedtest/src/main/java/com/google/archivepatcher/shared/UnitTestZipArchive.java#L102
DefaultDeflateCompatibilityWindow(),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,7,7,7,7,7,7,7,https://github.com/google/archive-patcher/blob/8f6afb9a0363dfcb3be4ef2a53926c937bd0d8c4/README.md,https://github.com/google/archive-patcher/blob/50ca40a3de7983392a383ed3cc7b48e25f1b69b3/sharedtest/src/main/java/com/google/archivepatcher/shared/UnitTestZipArchive.java#L116
