code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,doc_link,source_link
.tar,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tests/directory_tests.py#L47
.timeline,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/auto_forensicate/recipes/directory.py#L243
ACL,repo,README.md,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster.sh#L127
EFI,repo,README.md,0,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster.sh#L32
GCS,repo,README.md,0,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,22,30,30,30,30,30,30,30,30,30,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/post-install-user.sh#L49
GiftStick,repo,README.md,0,6,6,8,11,11,11,11,11,11,11,11,11,11,11,11,11,22,22,22,22,22,22,22,22,22,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,26,26,26,26,26,26,26,27,27,30,30,30,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/post-install-user.sh#L61
ISO,repo,README.md,0,21,21,21,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/post-install-root.sh#L16
JSON,repo,README.md,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/commons.sh#L35
MacBook,repo,README.md,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/post-install-root.sh#L80
MacOS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,3,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/doc/FAQ.md#L22
StackDriver,repo,README.md,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/auto_forensicate/auto_acquire.py#L335
USB,repo,README.md,0,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster.sh#L34
auto_forensicate,repo,README.md,0,45,45,43,45,45,45,45,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,55,55,55,55,55,55,55,55,57,57,57,56,56,56,56,56,56,56,56,56,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,63,63,64,64,64,64,64,64,70,70,70,70,70,70,70,70,70,70,70,70,70,70,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/post-install-user.sh#L44
boto_dir,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/call_auto_forensicate.sh#L41
boto_pr3561_connection,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/call_auto_forensicate.sh#L47
boto_pr3561_key,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tools/remaster_scripts/call_auto_forensicate.sh#L54
dmidecode,repo,README.md,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/GiftStick/blob/5e8902646dbd79442dab081fc2214d3914132fc8/README.md,https://github.com/google/GiftStick/blob/9b47ea10ef38edded7dc0edbf68b9e98202d30f0/tests/sysinfo_tests.py#L32
