code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
CSP,repo,README.md,169,169,170,170,170,170,172,104,104,104,104,104,104,104,126,126,126,126,124,124,124,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/a631db995760f2ed91c26cf25447a6b72f631e21/utils.ts#L2
CspEvaluator,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,5,5,5,5,5,5,5,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/a631db995760f2ed91c26cf25447a6b72f631e21/evaluator_test.ts#L23
"CspEvaluator(parser.csp, csp.Version.CSP3)",repo,README.md,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/demo/demo.js#L19
CspParser,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,29,29,29,29,29,29,29,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/a631db995760f2ed91c26cf25447a6b72f631e21/parser_test.ts#L22
HTML,repo,README.md,21,21,21,21,21,21,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/build/evaluator_binary.js#L231
JS,repo,README.md,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/whitelist_bypasses/flash.js#L17
"Widget(parser.csp, findings, csp.Version.CSP3)",repo,README.md,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/demo/demo.js#L21
build/evaluator_binary.js,repo,README.md,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,code_element is a file name
build_templates,repo,README.md,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/do.sh#L215
check_deps,repo,README.md,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/do.sh#L206
clean_deps,repo,README.md,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/do.sh#L224
csp.CspParser(rawCsp),repo,README.md,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/demo/demo.js#L18
csp_evaluator,repo,README.md,-,-,-,-,-,-,-,1,1,1,1,1,1,1,2,2,2,2,2,2,2,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/a631db995760f2ed91c26cf25447a6b72f631e21/package.json#L2
csp_widget,repo,README.md,7,7,7,7,7,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/ui/widget_test_dom.html#L3
do.sh,repo,README.md,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/do.sh#L88
evaluator.evaluate(),repo,README.md,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/ui/widget_test.js#L43
evaluator_binary,repo,README.md,2,2,2,2,2,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/do.sh#L162
install_deps,repo,README.md,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/do.sh#L46
rawCsp,repo,README.md,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/csp-evaluator/blob/a21f94e348b0dfb0245c65af522bf3137a9647de/README.md,https://github.com/google/csp-evaluator/blob/f40c18cbe35f3ac5a6c7d04da64f7078b9fca4b1/demo/demo.js#L17
