code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
EDF,repo,README.md,9,13,13,15,16,16,16,https://github.com/google/edf/blob/7e398c6a0b1eb0dd9e716ab164047f6420ec377b/README.md,https://github.com/google/edf/blob/976ca05c5f9a1df22057591444749e6c45aaa0e0/tools/edf-tool.go#L51
tool,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/edf/blob/7e398c6a0b1eb0dd9e716ab164047f6420ec377b/README.md,https://github.com/google/edf/blob/976ca05c5f9a1df22057591444749e6c45aaa0e0/tools/edf-tool.go#L15
