code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,doc_link,source_link
AEC,repo,README.md,3,3,3,3,3,3,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/spatial_load.go#L591
API,repo,README.md,11,11,11,11,11,11,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/http.go#L31
FeatureCollection,repo,README.md,6,6,6,6,6,6,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/spatial.go#L174
HTTP,repo,README.md,3,3,3,3,3,3,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/http.go#L31
JSON,repo,README.md,15,15,15,15,15,15,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/http.go#L78
LICENSE,repo,README.md,58,58,58,58,58,58,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/tools/polling_places/parse_polling_places.go#L9
MultiPoint,repo,README.md,1,1,1,1,1,1,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/dart_frontend/lib/services/electorate_spatial_service.dart#L45
MultiPolygon,repo,README.md,2,2,2,2,2,2,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/encoded_polyline.go#L75
NT,repo,README.md,83,83,83,83,83,83,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/polling_places.go#L6760
REST,repo,README.md,4,4,4,4,4,4,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/polling_places.go#L2436
allowEncodedPolylineFeatureCollection,repo,README.md,2,2,2,2,2,2,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/http.go#L29
area_sqkm,repo,README.md,5,5,5,5,5,5,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/make_dataset/transform_simplify/transform_simplify.sh#L28
dart_frontend,repo,README.md,5,5,5,5,5,5,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/dart_frontend/web/main.dart#L18
electorate_ids,repo,README.md,3,3,3,3,3,3,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/spatial.go#L193
electorate_label,repo,README.md,2,2,2,2,2,2,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/go_backend/spatial.go#L194
go_backend,repo,README.md,6,6,6,6,6,6,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/tools/polling_places/parse_polling_places.go#L28
localhost:8080,repo,README.md,1,1,1,1,1,1,https://github.com/google/election-au-2016/blob/eebe41d88bd0e5124e6770f7859a849a6de0adb8/README.md,https://github.com/google/election-au-2016/blob/19d1a69bb2d02273a597d6f825490c2f5d6796ed/dart_frontend/README.md#L19
