code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
A300B4,repo,README.md,.,.,2,2,2,2,2,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/README.md,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/fgvc_classes.txt#L3
ATR,repo,README.md,.,.,4,4,4,4,4,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/README.md,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/fgvc_classes.txt#L1
afghan_hound,repo,README.md,.,.,1,1,1,1,1,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/README.md,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/sdog_classes.txt#L2
african_hunting_dog,repo,README.md,.,.,1,1,1,1,1,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/README.md,https://github.com/google/goldfinch/blob/083be242de886ecf1f3946ebe9d742d0101e42d3/sdog_classes.txt#L3
