code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,doc_link,source_link
--limit,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/Dataflow/run.py#L45
--local,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/Dataflow/run.py#L48
API,repo,README.md,15,15,15,15,15,17,17,26,17,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,.,31,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_2]_Vision_API_for_Creative_Parsing.ipynb#L6
Advertiser_ID,repo,README.md,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,6,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_1]_Creative_Extraction.ipynb#L268
BigQuery,repo,README.md,0,0,0,0,0,0,0,1,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,.,7,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_3]_Feature_Extraction_and_Modeling.ipynb#L3015
CM,repo,README.md,11,11,11,11,11,9,9,15,9,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,.,20,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_1]_Creative_Extraction.ipynb#L63
Creative_ID,repo,README.md,10,10,10,10,10,10,10,11,10,11,11,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,.,14,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_3]_Feature_Extraction_and_Modeling.ipynb#L3028
Creative_Name,repo,README.md,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,6,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_1]_Creative_Extraction.ipynb#L268
FAQ,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,2,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/Dataflow/README.md#L23
Full_URL,repo,README.md,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,6,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_1]_Creative_Extraction.ipynb#L269
GCS,repo,README.md,13,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,.,18,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_2]_Vision_API_for_Creative_Parsing.ipynb#L724
JPG,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,1,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/Dataflow/README.md#L32
URL,repo,README.md,2,2,2,2,2,2,2,4,2,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,.,8,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_3]_Feature_Extraction_and_Modeling.ipynb#L135
bq,repo,README.md,3,3,3,3,3,3,3,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/colabs/CM360/[colab_2]_Vision_API_for_Creative_Parsing.ipynb#L305
client_email,repo,README.md,0,0,0,0,0,0,0,2,0,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/colabs/CM360/[colab_3]_Feature_Extraction_and_Modeling.ipynb#L67
client_secrets.json,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/Dataflow/setup_environment.sh#L22
cm_helper.py,repo,README.md,1,1,1,1,1,1,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/colabs/CM360/[colab_1]_Creative_Extraction.ipynb#L214
cm_profile_id,repo,README.md,7,7,7,7,7,8,8,13,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/colabs/CM360/[colab_1]_Creative_Extraction.ipynb#L256
creative_id,repo,README.md,54,54,54,54,54,54,54,57,54,57,92,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,.,157,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/colabs/CM360/[colab_3]_Feature_Extraction_and_Modeling.ipynb#L132
creative_source_details,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/Dataflow/run.py#L60
face_annotations,repo,README.md,7,7,7,7,7,7,7,7,7,7,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/colabs/CM360/[colab_3]_Feature_Extraction_and_Modeling.ipynb#L965
gcp,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/Dataflow/pipeline/requirements.txt#L1
gcs,repo,README.md,11,11,11,11,11,11,11,11,11,11,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,.,-,https://github.com/google/oculi/blob/d3d248b3e064034aa9bbb6af6912d5059c76045b/README.md,https://github.com/google/oculi/blob/d0a25905b0ea5b5667794eeabebaed7cd43bb820/colabs/CM360/[colab_2]_Vision_API_for_Creative_Parsing.ipynb#L305
