code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
Data.Vector,repo,README.md,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedTest.hs#L23
Data.Vector.Storable,repo,README.md,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/ShapedS.hs#L54
Data.Vector.Unboxed,repo,README.md,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedUTest.hs#L23
Dynamic,repo,README.md,-,-,-,19,19,19,19,19,19,19,19,19,17,17,17,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/DynamicTest.hs#L20
Float,repo,README.md,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/FastReshape.hs#L19
G,repo,README.md,-,-,-,482,482,482,482,482,482,482,482,482,482,482,482,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/ShapedU.hs#L61
HughesPJClass,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,13,13,13,13,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/ShapedU.hs#L58
PrettyPrint,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,14,14,14,14,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/ShapedU.hs#L58
Ranked,repo,README.md,-,-,-,14,14,14,14,14,14,14,14,14,12,12,12,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/RankedTest.hs#L22
S,repo,README.md,-,-,-,39,39,39,39,39,39,39,39,39,39,39,39,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/ShapedS.hs#L62
Shaped,repo,README.md,-,-,-,14,14,14,14,14,14,14,14,14,12,12,12,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedTest.hs#L22
U,repo,README.md,-,-,-,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/Data/Array/Internal/FastReshape.hs#L29
"[2,3]",repo,README.md,-,-,-,71,71,71,71,71,71,71,71,71,71,71,71,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedUTest.hs#L33
[],repo,README.md,-,-,-,202,202,202,202,202,205,204,204,204,120,120,120,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedUTest.hs#L57
fromList,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,404,404,404,404,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedUTest.hs#L34
shapeL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,133,133,133,133,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/README.md,https://github.com/google/orthotope/blob/2b694bf992614e86384f6e4566388d41a12f1e43/tests/ShapedUTest.hs#L44
