code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,doc_link,source_link
.github/workflows/main.yml,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,code_element is a file name
.travis.yml,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,code_element is a file name
API,repo,README.md,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/ghutil/ghutil.go#L73
CONTRIBUTING.md,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,code_element is a file name
GO111MODULE=on,repo,README.md,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/4633f6a109e3410e2e6088420691cf5a14b5efdc/.travis.yml#L29
GoMock,repo,README.md,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/291af73c194fec3f1c36f4c0075d860a93b4898f/ghutil/mock_ghutil.go#L18
LICENSE,repo,README.md,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/logging/logging.go#L7
README.md,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,code_element is a file name
crbot,repo,README.md,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/config/config.go#L33
ghutil/mock_ghutil.go,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,code_element is a file name
go.mod,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28,28,28,28,32,32,32,32,32,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,39,39,39,39,40,39,39,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/go_mod_tidy_test.sh#L33
go.sum,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/go_mod_tidy_test.sh#L34
gomock,repo,README.md,-,-,24,24,24,24,24,24,24,24,24,24,24,24,24,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/ghutil/ghutil_test.go#L22
mock_ghutil,repo,README.md,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/291af73c194fec3f1c36f4c0075d860a93b4898f/ghutil/Makefile#L19
mockgen,repo,README.md,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/code-review-bot/blob/152fa6f1bac595624d86eb78ef44be7061e5f411/README.md,https://github.com/google/code-review-bot/blob/ec38f142b4d0490d257ebc33a66ee149d1dc8669/ghutil/ghutil.go#L18
