code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
API,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/testconversions/testconversions.go#L12
CSS,repo,README.md,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/uncheckedconversions/uncheckedconversions.go#L61
HTML,repo,README.md,236,236,236,236,236,236,236,236,236,236,236,236,236,236,235,235,235,235,235,235,235,235,235,235,235,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/url.go#L15
JavaScript,repo,README.md,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/uncheckedconversions/uncheckedconversions.go#L47
XSS,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/url.go#L22
example_test.go,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,code_element is a file name
html/template,repo,README.md,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/template/template.go#L96
safehtml,repo,README.md,245,245,245,245,245,245,245,245,245,245,250,250,250,250,249,249,249,249,249,249,249,249,249,249,249,https://github.com/google/safehtml/blob/5d2fe811bb1580e8c5d1cc3d501bb530473f82a8/README.md,https://github.com/google/safehtml/blob/00016cfeca15934822b3ba2db27fea4530089a72/urlset.go#L7
