code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,doc_link,source_link
ANY,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L147
AS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L146
BASIS,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L146
BigQuery,repo,README.md,-,-,-,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L39
CONDITIONS,repo,README.md,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/LICENSE#L6
CSV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/sredocs.go#L39
CSVHeader(regexps []*regexp.Regexp),repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/parser/parser.go#L30
CompileRegex(fields []string),repo,README.md,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/parser/parser.go#L28
DefaultParser,repo,README.md,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/postmortem/postmortem.go#L65
GitHub,repo,README.md,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/sredocs/blob/f6b5bb9d9ffec48110e0fe08749f9bbbdaf32ecd/README.md,https://github.com/google/sredocs/blob/1d70dde13b0bffb526f83f622b321c01a50d6bfc/CONTRIBUTING.md#L21
