code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,doc_link,source_link
DCMAKE_BUILD_TYPE,repo,README.md,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/packaging/debian/rules#L29
DCMAKE_INSTALL_BINDIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,1,-,-,-,-,-,-,-,3,3,3,3,3,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/packaging/debian/rules#L24
DCMAKE_INSTALL_LIBDIR,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,1,1,1,1,-,-,-,-,-,-,-,3,3,3,3,3,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/packaging/debian/rules#L25
DOCTYPE,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L46
EVP_PKEY,repo,README.md,45,45,45,45,45,45,45,52,52,52,52,52,52,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L27
EVP_PKEY_free(priv_key),repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L69
FILE,repo,README.md,22,22,22,22,22,22,22,26,26,26,26,26,26,15,15,15,15,15,15,15,15,15,15,16,16,16,21,21,21,21,21,21,21,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L62
HTTP,repo,README.md,34,34,34,34,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,45,45,37,37,37,37,37,37,37,37,37,37,37,37,37,43,43,43,43,43,43,43,44,44,44,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/sxg_sig_test.cc#L135
OpenSSL,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/CMakeLists.txt#L29
"PEM_read_PrivateKey(keyfile, NULL, NULL, NULL)",repo,README.md,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/src/gensxg.c#L118
"PEM_read_X509(certfile, 0, 0, passwd)",repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/fuzzers/signer_fuzzer.cc#L38
SXG,repo,README.md,36,36,36,36,40,40,40,62,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,62,62,62,62,62,62,62,62,62,62,62,62,62,82,82,82,82,82,82,82,82,82,82,90,90,90,90,90,90,90,90,90,90,90,90,90,92,92,92,https://github.com/google/libsxg/blob/beaa3939b76f8644f6833267e9f2462760838f18/README.md,https://github.com/google/libsxg/blob/b5d42a219da3e179b8dd4b2e190b259f95b2e6c4/tests/toplevel_test.cc#L55
