code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
3D,repo,README.md,.,.,1,1,1,1,1,1,1,1,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/3d.html#L20
API,repo,README.md,.,.,2,2,2,2,2,3,3,3,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/third-party/threejs/controls/OrbitControls.js#L29
HELP,repo,README.md,.,.,1,1,1,11,11,11,-,-,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/ac72367f1f17ffdf3345b6e29a45340f4150e8da/www/js/app.js#L46
PPI,repo,README.md,.,.,4,4,4,4,4,4,4,4,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/CardboardView.js#L245
QR,repo,README.md,.,.,20,20,20,17,17,17,12,12,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/third-party/qrcode.js#L3
SDK,repo,README.md,.,.,1,1,1,1,1,1,1,1,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/CardboardDevice.proto#L79
URI,repo,README.md,.,.,5,5,5,5,5,5,3,3,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/app.js#L564
VR,repo,README.md,.,.,26,26,26,24,24,24,6,6,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/app.js#L81
WebGL,repo,README.md,.,.,0,0,0,0,2,2,2,2,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/3d_app.js#L220
config.js,repo,README.md,.,.,3,3,3,3,3,3,3,3,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/index.html#L49
firebase-security-rules.json,repo,README.md,.,.,1,1,1,1,1,1,1,1,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,code_element is a file name
iOS,repo,README.md,.,.,5,5,5,6,6,6,4,4,https://github.com/google/wwgc/blob/4f5bd449d502d8857e59d90ea3c897d11091bb45/README.md,https://github.com/google/wwgc/blob/2b9c752ba1d02cc50d637f313b36acd2234072a5/www/js/3d_app.js#L33
