code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,doc_link,source_link
.CerrLog(),repo,README.md,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/logging_test.cc#L115
.CoutLog(),repo,README.md,-,-,-,-,-,-,-,-,10,10,10,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/logging_test.cc#L86
.ErrorCode(INVALID_ARGUMENT),repo,README.md,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L274
.Log(ERROR),repo,README.md,-,-,-,-,-,-,-,-,4,4,4,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L229
.Log(WARNING),repo,README.md,-,-,-,-,-,-,-,-,2,2,2,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/logging.h#L29
.Return(),repo,README.md,-,-,-,-,-,-,-,-,15,15,15,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/tee_test.cc#L36
ANY,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
AS,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L10
BASIS,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L10
CONDITIONS,repo,README.md,63,63,63,63,63,63,64,65,65,65,65,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
CerrLog(),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/logging_test.cc#L498
CookBreakfast(int hunger_level),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/macros.h#L272
CoutLog(),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/logging_test.cc#L114
"Div(int a, int b)",repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/default_test.cc#L34
ErrorCode(absl::StatusCode::kInvalidArgument),repo,README.md,-,-,-,-,-,-,-,-,1,1,1,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/domain/default_test.cc#L35
GitHub,repo,README.md,2,2,2,2,2,2,2,2,-,-,-,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/e094abb02312fba994630a1efe6212f47741ae3d/docs/contributing.md#L21
IS,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L10
KIND,repo,README.md,61,61,61,61,61,61,62,63,63,63,63,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/README.md,https://github.com/google/merror/blob/b0bf376e110b66da70c150afddd9d3b8337282d6/merror/types_test.cc#L11
