code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
-g,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,-,-,-,-,-,-,-,-,-,-,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/77eedd22f7dc511f48621e6fd705e937d0e2c746/tests/installer_test.sh#L89
-s,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,4,4,4,4,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/tests/installer_test.sh#L29
BUILD,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/installer/installer.bash.template#L21
OS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/scripts/install.sh#L20
README,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/README.md#L4
WORKSPACE,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,code_element is a file name
com_github_google_rules_install,repo,README.md,11,11,8,8,8,8,8,7,9,9,9,9,9,9,9,9,9,9,7,10,10,11,11,9,9,9,9,9,9,9,9,9,9,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/setup.bzl#L18
compilation_mode,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,15,15,15,15,15,15,15,15,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/installer/def.bzl#L97
git_repository,repo,README.md,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,3,3,2,2,-,-,-,-,-,-,-,-,-,-,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/77eedd22f7dc511f48621e6fd705e937d0e2c746/docs/WORKSPACE#L17
http_archive,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,6,6,6,6,6,https://github.com/google/bazel_rules_install/blob/48547befcb002d055ae65b31e4bb0271d094db33/README.md,https://github.com/google/bazel_rules_install/blob/5ae7c2a8d22de2558098e3872fc7f3f7edc61fb4/examples/WORKSPACE#L40
