code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
ANY,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L12
API,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L103
AS,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L11
BASIS,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L11
CLOUD_STORAGE_BUCKET,repo,README.md,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/c0ebc8954a9e3bfcfe06dd591811deec45784298/harsanitizer/harsanitizer.py#L30
CLOUD_WORDLIST_LOCATION,repo,README.md,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/c0ebc8954a9e3bfcfe06dd591811deec45784298/harsanitizer/harsanitizer.py#L32
CONDITIONS,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L12
HAR,repo,README.md,35,35,35,35,35,35,35,35,35,35,35,35,35,39,39,38,38,38,38,38,38,38,38,38,38,38,38,39,39,39,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L123
Har(),repo,README.md,-,-,17,17,17,17,17,17,17,17,17,17,17,17,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/5eb8ee5cf771f33432ef4a2f3bcc95c91a6491d3/harsanitizer/harsanitizer.py#L196
HarSanitizer,repo,README.md,32,32,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,26,28,28,28,28,28,28,28,28,28,28,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L24
HarSanitizer(),repo,README.md,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/5eb8ee5cf771f33432ef4a2f3bcc95c91a6491d3/harsanitizer/harsanitizer.py#L634
IS,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/tests/python-tests/harsanitizer_test.py#L11
JSON,repo,README.md,-,-,15,15,15,15,15,15,15,15,15,15,15,15,15,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/har-sanitizer/blob/3b2d808ac7efffc15e33ebf32d0e59920282ab6a/README.md,https://github.com/google/har-sanitizer/blob/cc4599dd749ce983634669c458b8cb2a65686b33/harsanitizer/static/js/main.js#L211
