code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,doc_link,source_link
ANY,repo,README.md,-,0,0,16,16,16,16,17,17,17,17,17,17,16,16,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,19,19,19,18,18,18,17,16,15,13,12,12,11,10,10,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/src/plain/LICENSE#L15
API,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,11,11,11,11,11,11,11,11,12,12,12,12,12,13,13,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/test/registerProcessor_test.js#L172
AS,repo,README.md,-,0,0,15,15,15,15,16,16,16,16,16,16,15,15,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,18,17,17,17,16,15,14,12,11,11,10,9,9,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/src/plain/LICENSE#L15
Array,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,51,52,53,53,53,53,52,52,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/test/utils.js#L8
BASIS,repo,README.md,-,0,0,14,14,14,14,15,15,15,15,15,15,14,14,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,17,17,17,16,16,16,15,14,13,11,10,10,9,8,8,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/src/helper/data-layer-helper.js#L11
CONDITIONS,repo,README.md,-,0,0,16,16,16,16,17,17,17,17,17,17,16,16,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,19,19,19,18,18,18,17,16,15,13,12,12,11,10,10,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/src/helper/data-layer-helper.js#L12
DOM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/test/lib/qunit-1.12.0.js#L851
DataLayerHelper,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,20,20,20,20,20,21,21,21,23,23,23,23,23,23,18,18,22,22,22,25,26,33,33,33,37,48,50,50,50,57,57,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/test/setCommand_test.js#L4
DataLayerHelper(dataLayer),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/4a65b385db1fac710d33bf5d1345e598e3d117fc/test/setCommand_test.js#L20
HEAD,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,https://github.com/google/data-layer-helper/blob/9cace5012f90c0986b2894aada50c14aa00af241/README.md,https://github.com/google/data-layer-helper/blob/3c48d70971c41f10e4260a8d9d26de83f610d31c/test/lib/jquery-1.10.2.js#L7598
