code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,doc_link,source_link
$POD_NAME,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L19
$POD_VERSION,repo,README.md,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L19
CocoaPods,repo,README.md,-,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/.opensource/project.json#L2
FirebaseDatabase,repo,README.md,-,-,-,-,-,-,-,-,-,-,1,1,1,1,2,2,2,2,2,2,2,2,2,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L94
SDK,repo,README.md,-,0,0,0,0,0,0,0,0,0,4,4,4,4,6,6,6,6,6,6,6,6,6,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L133
cocoapods_source_config,repo,README.md,-,-,-,-,-,-,-,-,-,-,5,5,5,6,6,6,6,6,6,6,6,6,6,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L190
iPhone,repo,README.md,-,5,5,5,5,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/sizetestproject/SizeTest.xcodeproj/project.pbxproj#L270
measure_cocoapod_size,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L17
source_project,repo,README.md,-,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/xcode_project_diff.py#L123
source_scheme,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/xcode_project_diff.py#L123
spec_repos,repo,README.md,-,12,12,12,12,12,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/measure_cocoapod_size.py#L61
target_project,repo,README.md,-,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/xcode_project_diff.py#L123
target_scheme,repo,README.md,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/xcode_project_diff.py#L124
xcode_project_diff,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/cocoapods-size/blob/2fdee82fcc830ba74edd5262ff997c636addafba/README.md,https://github.com/google/cocoapods-size/blob/895045c54f9e363b6bb5de337700da19e5bee5f0/xcode_project_diff.py#L17
