code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
HAR,repo,README.md,-,0,11,11,11,11,12,12,12,12,12,21,24,24,24,29,31,31,37,37,37,39,33,33,34,34,34,34,37,37,51,-,-,https://github.com/google/prefetchalyzer/blob/86457650fece3bc7392400e9c0f70515970a390c/README.md,https://github.com/google/prefetchalyzer/blob/eb9f36ddacdcf9d2aa2a9fb7369bbd1aab3ded3d/src/utils/har-utils.ts#L22
HTML,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,https://github.com/google/prefetchalyzer/blob/86457650fece3bc7392400e9c0f70515970a390c/README.md,https://github.com/google/prefetchalyzer/blob/1c0b40dde5ff718da5dc0f15c42e2eafd3dac1c9/src/components/prefetch-table.vue#L44
WebPageTest,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,https://github.com/google/prefetchalyzer/blob/86457650fece3bc7392400e9c0f70515970a390c/README.md,https://github.com/google/prefetchalyzer/blob/1c0b40dde5ff718da5dc0f15c42e2eafd3dac1c9/src/components/prefetch-table.vue#L48
