code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
.send(),repo,README.md,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/single-message-prod-acceptance.js#L41
.setAsFeedback(),repo,README.md,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/unit/MessageSink.js#L127
.setAsNotHandled(),repo,README.md,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/unit/MessageSink.js#L109
.setAsTypeAgent(),repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/unit/MessageSink.js#L158
.toString(),repo,README.md,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/unit/MessageSink.js#L36
.update(),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/single-message-prod-acceptance.js#L46
@google,repo,README.md,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/package.json#L2
API,repo,README.md,-,-,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,31,31,31,31,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/unit/MessageStateWrapper/update/error-response-api-error.js#L42
MS,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/lib/MessageSink.js#L120
TTL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/lib/Transport.js#L37
WARNING,repo,README.md,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/single-message-prod-acceptance.js#L25
chatbase.newMessageSet(),repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/message-set-prod-acceptance.js#L34
newMessage,repo,README.md,10,29,27,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,33,33,33,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/unit/MessageSet/send/success-response.js#L40
sessionId,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/lib/MessageSink.js#L221
set.newMessage(),repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/message-set-prod-acceptance.js#L38
set.sendMessageSet(),repo,README.md,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/message-set-prod-acceptance.js#L48
setIntent('book-flight'),repo,README.md,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/chatbase-node/blob/1e22ead76086308ae768f2f2a457799a2361c1ac/README.md,https://github.com/google/chatbase-node/blob/83cc3f092721dcba38c7dbff284ffdaa77a4b6db/tests/acceptance/single-message-prod-acceptance.js#L36
