code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,doc_link,source_link
$1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/src/app/highlight-match.pipe.ts#L13
$2,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/src/app/input-bar/input-bar.component.spec.ts#L193
@angular,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,169,169,169,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/src/test.ts#L4
@types,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,118,118,118,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/package.json#L24
DOM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,16,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/src/assets/content.js#L99
HTTP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/src/app/fetch-status.service.ts#L20
IMG,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/src/assets/content.js#L43
JSON,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,-,1,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/46943b514c1bfd6d65cad303749fd28cd2acdec8/src/app/input-bar/input-bar.component.ts#L36
angular-link-diver,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16,16,13,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/371561f7e697fdae15fd3f5809c0a69137d67a47/package.json#L2
contentType,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,11,-,11,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/link-diver/blob/deeec716bac80d05ce3431d8946576a2fa850f12/README.md,https://github.com/google/link-diver/blob/46943b514c1bfd6d65cad303749fd28cd2acdec8/src/app/interfaces.ts#L16
