code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
10.0.2.2,repo,README.md,-,-,6,6,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/res/xml/network_security_config.xml#L7
AndroidManifest.xml,repo,README.md,-,-,1,1,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,code_element is a file name
Application,repo,README.md,-,-,24,24,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/ScreenerViewModel.kt#L19
Authenticator,repo,README.md,-,-,2,2,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/LoginRepository.kt#L22
DownloadWorkManager,repo,README.md,-,-,4,4,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/data/FhirPeriodicSyncWorker.kt#L22
DownloadWorkManagerImpl,repo,README.md,-,-,2,2,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/data/FhirPeriodicSyncWorker.kt#L34
FHIR,repo,README.md,-,27,3,3,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/res/values/strings.xml#L17
FhirApplication,repo,README.md,-,-,10,10,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/data/FhirPeriodicSyncWorker.kt#L24
FhirEngineProvider,repo,README.md,-,-,3,3,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/FhirApplication.kt#L24
FhirPeriodicSyncWorker,repo,README.md,-,-,3,3,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/README.md,https://github.com/google/fhir-app-examples/blob/f72316bd8799dae4f4130b31959b56f52d15beae/demo/src/main/java/com/google/fhir/examples/demo/data/FhirPeriodicSyncWorker.kt#L27
