code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,doc_link,source_link
.addIsFamilyFriendly(BooleanEnum.TRUE),repo,README.md,8,5,5,5,5,5,5,5,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L57
.build(),repo,README.md,21,11,11,11,11,11,11,11,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L61
.getFullTypeName(),repo,README.md,1,0,0,0,0,0,0,0,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/f24ab5634a1a579cb541c977347c090b4820d41f/src/example/schema-org-client-1.0.0/README.md#L263
.getUrl(),repo,README.md,1,0,0,0,0,0,0,0,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/f24ab5634a1a579cb541c977347c090b4820d41f/src/example/schema-org-client-1.0.0/README.md#L266
.getValue(),repo,README.md,11,8,8,8,8,8,8,8,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/SchemaOrgTypeImpl.java#L121
@base,repo,README.md,18,16,16,16,16,16,16,16,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L69
@context,repo,README.md,30,26,26,26,26,26,26,26,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L66
@id,repo,README.md,35,32,32,32,32,32,32,32,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L75
@reverse,repo,README.md,24,22,22,22,22,22,22,22,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L82
@type,repo,README.md,58,53,53,53,53,53,53,53,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L72
ABC,repo,README.md,18,17,17,17,17,17,17,17,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L56
ACTIVE_ACTION_STATUS,repo,README.md,4,3,3,3,3,3,3,3,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/ActionStatusTypeEnum.java#L30
ActionStatusType,repo,README.md,227,223,223,223,223,223,223,223,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/impl/WriteActionImpl.java#L93
ActionStatusTypeEnum,repo,README.md,13,11,11,11,11,11,11,11,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/ActionStatusTypeEnum.java#L29
ActiveActionStatus,repo,README.md,2,1,1,1,1,1,1,1,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/ActionStatusTypeEnum.java#L30
Boolean,repo,README.md,273,271,271,271,271,271,271,271,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/goog/impl/PopularityScoreSpecificationImpl.java#L27
BooleanEnum.FALSE,repo,README.md,4,3,3,3,3,3,3,3,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/JsonLdSerializer.java#L581
BooleanEnum.TRUE,repo,README.md,5,4,4,4,4,4,4,4,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L209
COMPLETED_ACTION_STATUS,repo,README.md,4,3,3,3,3,3,3,3,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/ActionStatusTypeEnum.java#L32
CompletedActionStatus,repo,README.md,2,1,1,1,1,1,1,1,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/main/java/com/google/schemaorg/core/ActionStatusTypeEnum.java#L32
CookAction,repo,README.md,102,101,101,101,101,101,101,101,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L84
CoreConstants.PROPERTY_RECIPE,repo,README.md,10,7,7,7,7,7,7,7,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L59
CoreFactory,repo,README.md,13,9,9,9,9,9,9,9,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L24
CoreFactory.newCookActionBuilder(),repo,README.md,8,5,5,5,5,5,5,5,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/README.md,https://github.com/google/schemaorg-java/blob/30ddcbbec9a3068b6507945803db4442126d35f7/src/test/java/com/google/schemaorg/JsonLdSerializerTest.java#L60
