code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
$npm_package_config_service_name,repo,README.md,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/3be5436c2da780ad1c021936d8adc9317265eff8/package.json#L23
2G,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/package.json#L25
API,repo,README.md,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/listPlacements.ts#L40
CLOUD_BUCKET,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/storeToGcs.ts#L62
CLOUD_PROJECT_ID,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/storeToGcs.ts#L73
CLOUD_RUN_REGION,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/listPlacements.ts#L137
FILE_PATH_PATTERN,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/storeToGcs.ts#L70
MS_BEFORE_SCREENSHOT,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/screenshot.ts#L26
MS_BEFORE_SCREENSHOT_INSTREAM,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/screenshot.ts#L27
NUMBER_OF_SCREENSHOTS,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/screenshot.ts#L29
POST,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/listPlacements.ts#L149
SCREENSHOT_PADDING,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/screenshot.ts#L25
SCREENSHOT_QUALITY,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/screenshot.ts#L28
VAST,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/generateTags.ts#L67
accountId,repo,README.md,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/creative-screenshots/blob/74fa58a165f0558b5c66935751e20da015e37529/README.md,https://github.com/google/creative-screenshots/blob/c3c85318d00bbde1c611aa0473d10692c6330ea6/src/storeToGcs.ts#L26
