code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
--allow-redirects,repo,README.md,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/tests/path-exists-test.sh#L47
./tools/changelog.sh,repo,README.md,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/changelog.sh#L3
./tools/conventional-changelog.sh,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/conventional-changelog-test.sh#L16
.archiveignore,repo,README.md,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/archive.sh#L2
1,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,308,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/spdx-test.sh#L20
200,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/path-exists.sh#L70
80,repo,README.md,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/tests/trailing-whitespace-test.sh#L23
82,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/tests/line-length-test.sh#L72
API,repo,README.md,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/spdx-dependencies-test.sh#L21
CHANGELOG,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/tests/has-pattern-test.sh#L25
CI,repo,README.md,0,0,0,0,0,1,1,1,1,1,1,1,2,2,5,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/filelist.sh#L18
HEAD,repo,README.md,1,1,5,5,5,5,5,5,5,5,5,9,9,9,10,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/conventional-changelog.sh#L43
IFS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,10,10,11,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/filelist.sh#L20
LICENSE,repo,README.md,15,15,15,15,15,17,19,26,26,28,28,30,30,32,34,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/spdx-test.sh#L9
MIT,repo,README.md,-,-,-,-,-,-,9,11,11,11,11,11,11,11,11,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/spdx-test.sh#L17
SPDX,repo,README.md,-,-,-,-,-,-,0,6,6,6,6,6,6,6,6,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/spdx-dependencies-test.sh#L34
TODO,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/tests/block-string-test.sh#L42
URL,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/path-exists.sh#L49
approved-licenses.txt,repo,README.md,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/spdx-dependencies-test.sh#L32
head,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/tests/line-length-test.sh#L58
imperative,repo,README.md,-,12,12,17,17,17,17,17,17,17,17,17,17,17,17,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/verb-tense.sh#L25
listoffiles.txt,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/filelist-test.sh#L17
past,repo,README.md,18,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/verb-tense.sh#L24
present,repo,README.md,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/rules/verb-tense.sh#L18
zip,repo,README.md,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/README.md,https://github.com/google/git-presubmit-linter/blob/2cce6818fac0ebb5e7d49245363cf75d3e1fc123/tools/tests/archive-test.sh#L3
