code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,doc_link,source_link
13T16:45:05,repo,README.md,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/4e370f7863f93a2d0784218c29df844e33243b65/tests.py#L252
ADD,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/tests.py#L481
AuFS,repo,README.md,0,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/tools/de.py#L77
CMD,repo,README.md,0,2,2,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/tests.py#L115
DISTRIBUTION,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/LICENSE#L6
ID,repo,README.md,0,21,21,22,22,22,22,22,22,22,22,22,22,22,22,24,24,21,21,19,19,19,18,15,16,16,16,16,16,16,16,16,24,24,20,20,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/tools/de.py#L161
JSON,repo,README.md,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/docker_explorer/utils.py#L55
OverlayFS,repo,README.md,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/docker_explorer/storage.py#L156
busybox:latest,repo,README.md,0,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/4e370f7863f93a2d0784218c29df844e33243b65/tests.py#L321
container_cmd,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/docker-explorer/blob/d4b88dd1cc9c3794f8c3ead7bbff152eb0707008/README.md,https://github.com/google/docker-explorer/blob/235f019f3d52f6d04b94fae75c3e8d3952c29a60/tests.py#L115
