code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,doc_link,source_link
ANY,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,15,15,15,15,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
AS,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,12,12,12,12,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L10
BASIS,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L10
CONDITIONS,repo,README.md,4,7,10,10,10,10,11,11,11,12,13,13,13,13,13,13,13,14,14,14,14,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
IS,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,13,13,13,13,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L10
KIND,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,12,12,12,12,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
LICENSE,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,16,16,16,16,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L7
LLC,repo,README.md,0,3,6,6,6,6,7,7,7,8,9,9,9,9,9,9,9,10,10,10,10,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L1
OF,repo,README.md,3,6,9,9,9,9,10,10,10,11,12,12,12,12,12,12,12,17,17,17,17,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
OR,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,32,32,32,32,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
WARRANTIES,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,12,12,12,12,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
WITHOUT,repo,README.md,2,5,8,8,8,8,9,9,9,10,11,11,11,11,11,11,11,12,12,12,12,https://github.com/google/gcb-tools/blob/63ad76f15aea1187dc3195c9c622495882594405/README.md,https://github.com/google/gcb-tools/blob/d1a5e16a1cb07fd92dc2458e1846b116b5bf3c6f/cloudbuild.yaml#L11
