code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,doc_link,source_link
CLA,repo,README.md,1,1,1,1,https://github.com/google/swift/blob/b37424afb93f0b818beb3435b12281cfbd5c9ce6/README.md,https://github.com/google/swift/blob/b37424afb93f0b818beb3435b12281cfbd5c9ce6/CONTRIBUTING.md#L23
GitHub,repo,README.md,2,2,2,2,https://github.com/google/swift/blob/b37424afb93f0b818beb3435b12281cfbd5c9ce6/README.md,https://github.com/google/swift/blob/b37424afb93f0b818beb3435b12281cfbd5c9ce6/CONTRIBUTING.md#L30
