code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
"""webrtc""",repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L85
1.0,repo,README.md,611,554,800,800,586,586,1101,1101,1101,1101,1093,1093,931,931,931,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L79
API,repo,README.md,-,-,4,4,4,4,12,12,12,12,12,12,12,12,12,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L112
AppSwitch,repo,README.md,-,2,2,2,2,2,3,3,3,3,3,3,3,3,3,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L62
AudioVolumeDown,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L59
AudioVolumeUp,repo,README.md,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L60
EmulatorControllerService,repo,README.md,20,20,30,30,32,32,26,26,26,33,33,33,33,33,33,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/test/touch_event_handler.test.js#L28
EmulatorStatus,repo,README.md,9,10,10,10,10,10,12,12,12,12,12,12,12,12,12,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/index.js#L18
Function,repo,README.md,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/views/webrtc_view.js#L27
GeolocationCoordinates,repo,README.md,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-emulator-webrtc/blob/6932c5fe4fa6af358343752b6abf6b82f8c89ff9/README.md,https://github.com/google/android-emulator-webrtc/blob/01acb09fbf4b154214fe26e9e32ce30205d9fc0c/src/components/emulator/emulator.js#L87
