code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,doc_link,source_link
@MethodPattern,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/LintDetectorStats.java#L25
AGP,repo,README.md,-,-,-,-,-,-,2,2,2,2,2,2,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/LintDetectorStats.java#L44
JVM,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/build.gradle#L78
LintDetectorStats,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/LintDetectorStats.java#L22
LintDetectorStats.java,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,code_element is a file name
LintDriver,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/LintDetectorStats.java#L26
MB,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/PerformanceStats.java#L197
TopDownAnalyzerFacadeForJVM,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/LintDetectorStats.java#L27
YourKit,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/LintDetectorStats.java#L21
calls,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/PerformanceStats.java#L169
gradle.properties,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/build.gradle#L37
java,repo,README.md,-,-,-,-,17,17,17,19,19,19,19,7,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/PerformanceStats.java#L5
jvmArgs,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/build.gradle#L45
probe_on,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/build.gradle#L71
self,repo,README.md,8,8,8,8,8,8,8,7,7,7,7,7,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/PerformanceStats.java#L43
total,repo,README.md,8,8,8,8,8,8,8,7,7,7,7,7,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/src/main/java/com/android/tools/probes/PerformanceStats.java#L42
yourkitAgent,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/gradle.properties#L8
yourkitJar,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/android-lint-performance-probe/blob/8d8b8afd3de37f90de0255570db50210643b94ca/README.md,https://github.com/google/android-lint-performance-probe/blob/b5d4874d11079fbcda97a5104f31deec659b2a32/gradle.properties#L3
