code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,doc_link,source_link
API,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/standard-payments/blob/3b3e94451aba224bf790b5f30fc94d89b2409fea/README.md,https://github.com/google/standard-payments/blob/f42797cd894ff9a9dc27dd2a622613d897f6f123/samples/pgp/README.md#L8
DISCLAIMER,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/standard-payments/blob/3b3e94451aba224bf790b5f30fc94d89b2409fea/README.md,https://github.com/google/standard-payments/blob/f42797cd894ff9a9dc27dd2a622613d897f6f123/samples/pgp/README.md#L3
