code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,rev_89,rev_90,rev_91,rev_92,rev_93,rev_94,rev_95,rev_96,rev_97,doc_link,source_link
AV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/2a2e64fa64d44d57f9350f2938ff996c7d0b5483/maldoca/service/testdata/c98661bcd5bd2e5df06d3432890e7a2e8d6a3edcb5f89f6aaa2e5c79d4619f3d_base64_encoded.docx#L477
BUILD,repo,README.md,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/third_party/zetasql/README.md#L3
DMALDOCA_CHROME,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/2f420a971bedea03cc031e0215ad7f63064ddaf5/BUILD.bazel#L24
MALDOCA_CHROME,repo,README.md,155,155,155,159,159,159,159,159,159,159,159,159,159,159,161,161,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/2f420a971bedea03cc031e0215ad7f63064ddaf5/maldoca/service/maldoca_server.cc#L33
MalDocA,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/ci/kokoro/gcp_windows/cc_test/cc_test.bat#L24
OLE,repo,README.md,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/maldoca/service/proto/parsed_document.proto#L57
OOXML,repo,README.md,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/maldoca/service/common/office_processing_component.cc#L199
OS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/third_party/zlibwrapper/zlibwrapper.cc#L29
TEST,repo,README.md,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,486,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,488,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,492,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/third_party/zetasql/zetasql/base/time_proto_util_test.cc#L84
testdata_encode,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/maldoca/blob/c07ded8d6700e3e1821d235a12864458873f37a6/README.md,https://github.com/google/maldoca/blob/dc377aaa8cd42d8f90062190a1a67db7ced8c952/testdata_encode.py#L19
