code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,doc_link,source_link
3PO,repo,README.md,.,.,2,6,6,7,7,7,7,7,7,7,7,7,7,9,12,12,12,16,16,16,12,12,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/underwriter.html#L4
ANY,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
API,repo,README.md,.,.,3,6,7,10,11,11,11,10,11,26,27,27,40,60,61,61,61,67,67,73,68,68,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/TargetingOptionsBuilder.js#L27
AS,repo,README.md,.,.,12,25,26,34,36,36,36,35,35,36,37,37,39,41,45,45,47,54,55,59,43,43,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L12
BASIS,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L12
CONDITIONS,repo,README.md,.,.,13,25,26,33,35,35,35,34,34,35,36,36,38,40,44,44,46,53,54,58,43,43,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
DV,repo,README.md,.,.,4,16,16,19,20,20,20,18,18,18,18,18,18,22,23,23,23,27,27,27,23,23,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/underwriter.html#L4
IS,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L12
KIND,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
LICENSE,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L9
OF,repo,README.md,.,.,12,24,25,32,34,34,34,33,33,34,35,35,37,39,43,43,45,52,53,57,42,42,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
OR,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
WARRANTIES,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
WITHOUT,repo,README.md,.,.,11,23,24,31,33,33,33,32,32,33,34,34,36,38,42,42,44,51,52,56,41,41,https://github.com/google/dv-3po/blob/b0de9294b64cbed521b750afb17c435c825cc60a/README.md,https://github.com/google/dv-3po/blob/43408e999aa299c1e8f182a7a3f2c35786a2a4a3/speeder/sidebar.html#L13
