code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,doc_link,source_link
CVXR,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/survey_calibration_cvxr.ipynb#L65
baseline_weights,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23,19,23,23,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/survey_calibration_simulated.ipynb#L192
causal_inference_kang_schafer,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/causal_inference_kang_schafer.ipynb#L48
causal_inference_lalonde,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/causal_inference_lalonde.ipynb#L48
empirical_calibration,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,18,18,18,18,19,19,23,23,27,27,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/setup.py#L22
kang_schafer_population_mean,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/kang_schafer_population_mean.ipynb#L48
survey_calibration_cvxr,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/survey_calibration_cvxr.ipynb#L48
survey_calibration_simulated,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/empirical_calibration/blob/b25976b608acd0c214444791c832cacc8f2368f3/README.md,https://github.com/google/empirical_calibration/blob/0765bbd82377e8b7c613a021d07adcc101779385/notebooks/survey_calibration_simulated.ipynb#L6
