code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
-p,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/test/ngdart_test.dart#L67
AngularDart,repo,README.md,5,5,6,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/pubspec.yaml#L8
angular_cli,repo,README.md,33,33,34,34,34,34,34,34,34,34,34,34,34,36,36,36,37,37,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/test/project_model_test.dart#L9
angular_test,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/lib/templates/test/test.dart.mustache#L5
app_component,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/test/generate_test_test.dart#L31
build_runner,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/lib/templates/project/pubspec.yaml.mustache#L10
lib/,repo,README.md,8,8,8,8,8,8,8,8,8,8,8,6,6,6,6,6,6,6,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/test/project_model_test.dart#L106
project_name,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/0f602159ae00e484a17571c73af650b875e70a41/lib/src/commands/new.dart#L20
test,repo,README.md,134,134,136,136,136,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/angular_cli/blob/f56f471a7f50fa3a624d91754a316311ba6b0f32/README.md,https://github.com/google/angular_cli/blob/fe9f4edb318c14f3909079cda4f5f9da9cae9d2e/test/project_model_test.dart#L11
