code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
AR,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/Makefile#L112
AS,repo,README.md,70,70,70,70,70,72,72,72,72,72,72,72,72,72,82,82,82,82,82,82,84,84,84,84,84,84,84,84,88,88,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/tools/wave.h#L12
CC,repo,README.md,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/Makefile#L27
LD,repo,README.md,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/src/mdct.h#L20
LIBC,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/Makefile#L54
bin,repo,README.md,11,11,12,12,12,13,13,13,13,13,13,13,13,13,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/tools/makefile.mk#L29
bionic,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/Makefile#L54
dlc3,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/tools/meson.build#L22
elc3,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/tools/meson.build#L17
make,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/LICENSE#L77
pthread,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/Makefile#L55
rt,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/Makefile#L55
test,repo,README.md,7,8,9,9,9,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/test/neon/makefile.mk#L32
wave,repo,README.md,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,14,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/README.md,https://github.com/google/liblc3/blob/36ecf25881e901c273081814139ed00020b65580/tools/wave.h#L40
