code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,doc_link,source_link
"Println(""Wrote"", nw, ""bytes to file!"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,-,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/83e22c0d69ea299fb4be9ebd372fb05b1aad1b9b/vectorio_buffered_example_test.go#L47
"Println(""Wrote"", nw1+nw2, ""bytes to file"", f.Name()",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/cmd/vectorio_example.go#L62
"TempFile("""", ""vectorio"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,3,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/vectorio_buffered_example_test.go#L29
Write(data2),repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,3,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/vectorio_buffered_example_test.go#L39
WriteIovec,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,7,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/vectorio_buffered_test.go#L41
"WriteIovec(syscall.Iovec{&data1[0], 9})",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,2,2,2,2,2,2,2,2,2,-,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/83e22c0d69ea299fb4be9ebd372fb05b1aad1b9b/vectorio_buffered_example_test.go#L40
"WriteIovec(syscall.Iovec{&data1[0], uint64(len(data1)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/cmd/vectorio_example.go#L37
"Writev(f, multiple)",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/cmd/vectorio_example.go#L57
"byte(""barbazfoo_buf\n"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,1,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/1f0e384597f9882a9b59314dbbe5e7f58cfa9c0d/cmd/vectorio_example.go#L20
"byte(""foobarbaz"")",repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,6,6,6,6,6,6,6,6,6,-,-,-,-,https://github.com/google/vectorio/blob/54b751d0f74ecd5a36e2137a71d37678a46aa356/README.md,https://github.com/google/vectorio/blob/83e22c0d69ea299fb4be9ebd372fb05b1aad1b9b/vectorio_test.go#L38
