code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,doc_link,source_link
API,repo,README.md,.,.,.,.,.,.,0,0,0,0,2,2,6,10,11,12,14,14,14,14,14,14,14,14,14,14,14,14,14,14,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/nvlist.c#L158
ARRAY,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/nvpair.c#L1942
"BZ2_bzCompressStream(int ifd, int ofd, int blockSize100k, int verbosity, int workFactor)",repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bz2-stub-libnv.c#L93
"BZ2_bzDecompressStream(int ifd, int ofd, int verbosity, int small)",repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bz2-stub-libnv.c#L117
"BZ2_bzTestStream(int ifd, int verbosity, int small)",repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bz2-stub-libnv.c#L140
Bool,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,56,56,56,56,56,56,56,56,56,56,56,56,56,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/stream.c#L46
Data,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/manual.xml#L2951
FD,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,17,17,17,14,14,14,14,13,13,13,13,13,13,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/rpc-util.c#L61
FILE,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,39,39,39,39,39,39,39,39,39,39,39,39,39,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/nvlist.c#L594
FILE*,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/unzcrash.c#L76
FreeBSD,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,45,45,45,45,45,45,45,45,45,45,45,45,45,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/sys_endian.h#L5
IDL_GENERATE,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/idolize.h#L8
IP,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bzmore.1#L52
NUL,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/libbz2.dsp#L46
RPC,repo,README.md,.,.,.,.,.,.,0,0,0,0,0,0,1,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bz2-stub-libnv.c#L91
SCM_RIGHTS,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,5,5,5,5,5,5,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/msgio.c#L73
STRING,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/nvpair.c#L1934
Text,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/manual.xml#L518
UNIX,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,5,5,5,5,5,5,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bz2-driver-grpc.cc#L116
__cstring,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/idolize.h#L23
__handle,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/idolize.h#L38
__isfd,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/idolize.h#L34
binary,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,62,62,62,62,62,62,62,62,62,62,62,62,62,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/sys_endian.h#L8
bool,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,125,125,125,125,125,125,125,125,125,125,125,125,125,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/nvpair_impl.h#L51
bytes,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,139,139,139,139,139,139,139,139,139,139,139,139,139,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/unzcrash.c#L93
bzip2,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,575,575,591,591,591,591,591,591,591,591,591,591,591,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/xmlproc.sh#L5
bzlib,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,41,41,41,41,41,41,41,41,41,41,41,41,41,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/manual.xml#L2551
bzlib.h,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,29,29,29,29,29,29,29,29,29,29,29,29,29,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/unzcrash.c#L33
char*,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,27,27,27,27,27,27,27,27,27,27,26,26,26,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/unzcrash.c#L74
compressStream,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bzlib.capnp#L12
decompressStream,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/bzlib.capnp#L17
descriptor,repo,README.md,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/README.md,https://github.com/google/bzip2-rpc/blob/2e6d4f31c9a6b342abe2d19decaba673fce58ac6/third_party/libnv/nvpair.c#L439
