code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
AD,repo,README.md,32,32,32,32,32,32,32,32,32,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/vars.tf#L23
AF,repo,README.md,24,24,24,24,24,24,24,24,24,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L121
API,repo,README.md,9,9,9,9,9,9,9,9,9,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/web-omf.ps1#L79
CIDR,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/vars.tf#L68
DA,repo,README.md,15,15,15,15,15,15,15,15,15,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L121
DNS,repo,README.md,1,1,1,1,1,1,1,1,1,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L479
GCP,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L18
GitHub,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/docs/contributing.md#L21
HA,repo,README.md,126,126,126,126,126,126,126,126,126,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/vars.tf#L28
HTTPS,repo,README.md,3,3,-,-,-,-,-,-,-,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/cbde8aa6b503152177c0e458903e155a7a099af0/terraform/modules/compute-nonha/nonha.tf#L290
ID,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/vpc/networking.tf#L201
IIS,repo,README.md,8,8,8,8,8,8,8,8,8,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/pivii.ps1#L66
IP,repo,README.md,8,8,8,8,8,8,8,8,8,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L69
JSON,repo,README.md,71,71,71,71,71,71,71,71,71,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/web-omf.ps1#L183
MS,repo,README.md,5,5,-,-,-,-,-,-,-,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/cbde8aa6b503152177c0e458903e155a7a099af0/terraform/modules/compute-nonha/nonha.tf#L27
NAT,repo,README.md,1,1,1,1,1,1,1,1,1,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/main.tf#L155
OMF,repo,README.md,8,8,8,8,8,8,8,8,8,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-ha/ha.tf#L930
OR,repo,README.md,32,32,32,32,32,32,32,32,32,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/vars.tf#L11
OSIsoft,repo,README.md,18,18,18,18,18,18,18,18,18,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/pivii.ps1#L250
PI,repo,README.md,275,275,275,275,275,275,275,275,275,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L45
PIIntegratorBA_2020_ADV_1000_2,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/pivii.ps1#L262
PowerShell,repo,README.md,32,32,32,32,32,32,32,32,32,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/google-ad/google-ad.tf#L57
RFC,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/vars.tf#L72
SQL,repo,README.md,23,23,23,23,23,23,23,23,23,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L27
TCP,repo,README.md,31,31,31,31,31,31,31,31,31,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/compute-nonha/nonha.tf#L447
VPC,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/terraform/modules/vpc/networking.tf#L18
db_success,repo,README.md,5,5,5,5,5,5,5,5,5,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/pivii.ps1#L437
integrator_success,repo,README.md,9,9,9,9,9,9,9,9,9,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/pivii.ps1#L279
omf_success,repo,README.md,5,5,5,5,5,5,5,5,5,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/294353ea1090e4047be44922cdb6fa78720b4d90/README.md,https://github.com/google/GCP-deployment-scripts-for-PI-Core/blob/49195dc34e3fbc29db1d4846eba0056ae52fe5f8/powershell/non-ha/pivii.ps1#L368
