code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,doc_link,source_link
API,repo,README.md,.,.,.,.,.,.,.,.,.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/test/kotlin/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPluginTest.kt#L64
APK,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/gradle.properties#L15
AndroidManifest.xml,repo,README.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,code_element is a file name
BuildConfig,repo,README.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/main/java/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPlugin.kt#L26
CODE_OF_CONDUCT,repo,README.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/CODE_OF_CONDUCT.md#L27
GitHub,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/CONTRIBUTING.md#L21
LICENSE,repo,README.md,.,.,.,.,.,.,.,.,.,20,20,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/settings.gradle.kts#L7
NOTE,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/build.gradle#L21
"add(""keyToIgnore"")",repo,README.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/sample-app/build.gradle.kts#L54
android.secrets_gradle_plugin,repo,README.md,.,.,.,.,.,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/51b4d543ea3bfb9e70d4bb503441cd424e01ec4a/secrets_gradle_plugin/src/test/kotlin/com/google/android/secrets_gradle_plugin/SecretsPluginTest.kt#L15
android:value,repo,README.md,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/sample-app/src/main/AndroidManifest.xml#L30
build.gradle,repo,README.md,.,.,.,.,.,.,.,.,.,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,https://github.com/google/secrets-gradle-plugin/blob/02bb062042610193e54f65498871ec9bcd55f455/README.md,https://github.com/google/secrets-gradle-plugin/blob/16b9e729eb920017c00211e1c59837d7756f08cf/secrets-gradle-plugin/src/test/kotlin/com/google/android/libraries/mapsplatform/secrets_gradle_plugin/SecretsPluginTest.kt#L17
