code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,doc_link,source_link
A,repo,README.md,-,-,-,-,-,-,-,-,-,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33,33,33,33,33,33,33,33,33,33,35,36,36,36,36,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/third_party/neuroproof_examples/LICENSE.txt#L3
ConvStack3DFFNModel,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/models/fib25/README.md#L6
EM,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn/training/augmentation.py#L15
FFN,repo,README.md,72,72,72,72,72,72,72,72,73,73,73,73,74,74,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,80,80,80,80,80,80,80,80,80,80,90,90,90,91,91,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L15
FIB,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/third_party/neuroproof_examples/README.md#L1
FlyEM,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/third_party/neuroproof_examples/README.md#L1
GPU,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,7,7,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L27
PIL,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/0f50a1b4d192bd978c730b551083f14e9e81bd36/train.py#L39
RAM,repo,README.md,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/doc/manual.md#L11
TFRecord,repo,README.md,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/train.py#L66
TensorFlow,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/ffn_inference_colab_demo.ipynb#L36
bounding_box,repo,README.md,22,22,22,22,22,19,23,23,23,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,28,28,28,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/run_inference.py#L36
build_coordinates,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/doc/sample_workflow.md#L16
build_coordinates.py,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/setup.py#L11
compute_partitions,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/compute_partitions.py#L101
compute_partitions.py,repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/setup.py#L11
convstack_3d,repo,README.md,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/models/fib25/README.md#L6
coordinate_output,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/ffn/blob/00101cc5df726fc2bbf15801e178ca58f8ff8b62/README.md,https://github.com/google/ffn/blob/357e0da440ad2dd559e714b8c7b3b071930c98dd/build_coordinates.py#L30
