code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,doc_link,source_link
RFC,repo,README.md,0,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/pubspec.yaml#L5
URI,repo,README.md,0,6,8,11,11,12,12,12,12,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_parser_test.dart#L38
UriBuilder,repo,README.md,-,-,-,-,-,-,-,-,-,4,4,4,4,4,7,7,7,7,7,7,7,7,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_builder_test.dart#L11
UriMatch,repo,README.md,-,-,-,-,-,-,-,-,-,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_test.dart#L11
UriParser,repo,README.md,-,-,-,-,-,-,-,-,-,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_parser_test.dart#L11
UriPattern,repo,README.md,-,-,-,-,-,-,-,-,-,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_test.dart#L44
UriTemplate,repo,README.md,0,4,7,11,12,12,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_template_test.dart#L11
http://example.com/dictionary/{term:1}/{term},repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/lib/src/uri_template.dart#L209
"http://example.com/search{?q,lang}",repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/lib/src/uri_template.dart#L210
http://example.com/~{username}/,repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/lib/src/uri_template.dart#L208
match(Uri uri),repo,README.md,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_test.dart#L51
matches(Uri uri),repo,README.md,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/lib/src/uri_pattern.dart#L13
{,repo,README.md,-,-,-,-,-,-,-,-,-,247,247,272,272,274,275,280,295,295,295,297,297,297,294,300,300,300,300,301,301,301,304,304,304,304,304,304,304,304,301,303,303,303,303,303,301,301,301,300,306,306,306,306,306,307,309,309,309,309,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_test.dart#L10
},repo,README.md,-,-,-,-,-,-,-,-,-,244,244,267,267,269,270,274,288,288,288,290,290,290,287,293,293,293,293,294,294,294,296,296,296,296,296,296,296,296,294,296,296,296,296,296,294,294,294,294,300,300,300,300,300,301,303,303,303,303,https://github.com/google/uri.dart/blob/71af58c53ec20f37b4bbfcfd9f46ff94aaac2bdb/README.md,https://github.com/google/uri.dart/blob/d9a2699dff093ccb5152462c5ee0e0eae053653d/test/uri_test.dart#L14
