code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,rev_84,rev_85,rev_86,rev_87,rev_88,doc_link,source_link
$GOFLAGS,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/Dockerfile#L6
--save_path,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/Dockerfile#L26
.,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,175,175,175,175,175,176,176,176,176,176,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/vendored03/vendor/github.com/mitchellh/go-homedir/homedir.go#L56
./cmd/some-command,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/main.go#L48
BSD,repo,README.md,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,58,58,58,58,58,9,8,8,8,8,8,8,8,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/cli02/licenses.csv#L1
BurntSushi,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/cli02/go.sum#L40
COPYING,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/licenses/find_test.go#L35
GOFLAGS,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/licenses/library_test.go#L87
HEAD,repo,README.md,.,.,.,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209,209,209,209,209,209,209,209,209,209,209,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/vendored03/licenses.csv#L1
LICENSE,repo,README.md,.,.,.,.,28,29,29,32,32,32,40,43,45,45,45,45,45,45,46,46,46,46,46,46,46,46,49,49,49,54,54,54,54,54,55,55,55,55,55,55,55,59,59,59,59,59,59,123,123,123,123,124,124,69,68,68,68,68,70,70,70,92,98,103,103,103,107,107,110,114,115,115,115,115,115,115,115,115,115,116,115,115,115,115,115,115,115,115,https://github.com/google/go-licenses/blob/e69cf6e88bcabbaec44ca42a9837e31cbb81b4db/README.md,https://github.com/google/go-licenses/blob/d3a8092be2547203ba3fb949ed26d49f76af1590/testdata/modules/vendored03/main.go#L7
