code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,doc_link,source_link
./ads-queries/**/*.sql,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli.ts#L225
1234567890,repo,README.md,-,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner-js/README.md#L82
@param,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/lib/utils.ts#L52
AND,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/LICENSE.txt#L6
API,repo,README.md,-,1,1,1,1,1,1,4,4,4,4,5,8,8,9,11,11,13,13,18,18,18,18,17,17,17,23,25,25,25,25,25,25,25,25,25,25,25,26,26,33,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/setup.py#L12
BQ,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/lib/bq-writer.ts#L106
BigQuery,repo,README.md,-,3,3,3,3,3,3,3,3,3,3,4,11,11,27,27,27,27,27,29,29,29,29,29,46,46,46,46,46,46,46,46,46,46,46,46,46,46,44,44,44,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/setup.py#L12
CSV,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf/io/writer.py#L75
DDL,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli-bq.ts#L52
FROM,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,43,43,42,42,42,42,42,42,42,42,42,42,42,43,43,43,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf/utils.py#L21
GAQL,repo,README.md,-,-,-,-,0,0,0,1,1,1,1,1,2,2,4,4,4,4,4,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/README.md#L65
GCP,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/src/cli.ts#L51
GoogleAdsRow,repo,README.md,-,-,-,-,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/c9ef19dff919c18b71bd86ac3415cf0465b91f4a/runner/api_handler.py#L17
JS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/js/package-lock.json#L3407
LLC,repo,README.md,-,10,10,10,11,11,11,11,11,10,10,10,10,10,10,10,10,37,37,38,38,38,37,37,43,43,43,43,43,43,43,44,44,43,43,43,43,43,43,43,43,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/gaarf/utils.py#L1
OS,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/setup.py#L23
README,repo,README.md,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,5,5,7,9,9,9,9,9,9,9,9,9,9,9,13,13,15,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/setup.py#L6
SELECT,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32,32,31,31,31,31,31,31,31,31,31,31,31,32,32,32,https://github.com/google/ads-api-report-fetcher/blob/bed32cd018c9fff49be4d717c78baf68f892faa5/README.md,https://github.com/google/ads-api-report-fetcher/blob/f811c3f0fc3da62d73dfb7401019d70685d464da/py/tests/unit/test_query_editor.py#L12
