code_element,page_type,page_name,rev_1,rev_2,rev_3,doc_link,source_link
ClusterIP,repo,README.md,-,1,1,https://github.com/google/prometheus-slo-burn-example/blob/87038c20e921bfa573d80ff89fb97a7473a5f5d6/README.md,https://github.com/google/prometheus-slo-burn-example/blob/f49fd5bcf97be922ef9a242ac4790a9b9d00ccca/terraform/k8s/0-system-settings.yml#L93
NodePort,repo,README.md,-,4,4,https://github.com/google/prometheus-slo-burn-example/blob/87038c20e921bfa573d80ff89fb97a7473a5f5d6/README.md,https://github.com/google/prometheus-slo-burn-example/blob/f49fd5bcf97be922ef9a242ac4790a9b9d00ccca/terraform/k8s/4-cloudprober.yml#L45
SLO,repo,README.md,-,1,1,https://github.com/google/prometheus-slo-burn-example/blob/87038c20e921bfa573d80ff89fb97a7473a5f5d6/README.md,https://github.com/google/prometheus-slo-burn-example/blob/f49fd5bcf97be922ef9a242ac4790a9b9d00ccca/grafana/slo_dashboard.json#L493
TCP,repo,README.md,-,2,2,https://github.com/google/prometheus-slo-burn-example/blob/87038c20e921bfa573d80ff89fb97a7473a5f5d6/README.md,https://github.com/google/prometheus-slo-burn-example/blob/f49fd5bcf97be922ef9a242ac4790a9b9d00ccca/terraform/k8s/1-prometheus.yml#L59
cre-prometheus-slo-alerting,repo,README.md,-,4,4,https://github.com/google/prometheus-slo-burn-example/blob/87038c20e921bfa573d80ff89fb97a7473a5f5d6/README.md,https://github.com/google/prometheus-slo-burn-example/blob/f49fd5bcf97be922ef9a242ac4790a9b9d00ccca/terraform/k8s/4-cloudprober.yml#L17
gcp_region,repo,README.md,-,4,4,https://github.com/google/prometheus-slo-burn-example/blob/87038c20e921bfa573d80ff89fb97a7473a5f5d6/README.md,https://github.com/google/prometheus-slo-burn-example/blob/f49fd5bcf97be922ef9a242ac4790a9b9d00ccca/terraform/vars.tf#L6
