code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,doc_link,source_link
#/name#,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/bots/kittens.js#L19
*,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,229,229,229,229,229,229,229,229,229,229,229,229,229,229,211,211,211,211,211,211,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/viz.js#L22
->,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,13,13,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/map.js#L363
.js,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/bots.js#L19
@,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,2,2,2,2,2,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/pointer.js#L160
DJ,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/bots/quiz.js#L4
INPUT,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/pointer.js#L60
JSON,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,18,18,18,18,18,18,18,18,18,18,18,18,18,20,20,20,20,20,20,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/vendor/jquery-3.2.1.min.js#L3
UI,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,https://github.com/google/bottery/blob/c66291b56f842a8f9625dd01bbb124b4016e7d54/js/vendor/jquery-ui.min.js#L1
amIPsychic.js,repo,README.md,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/bottery/blob/5e5f43598906e6c51ad7d72b33724a718e1f3a89/README.md,code_element is a file name
