code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,rev_36,rev_37,rev_38,rev_39,rev_40,rev_41,rev_42,rev_43,rev_44,rev_45,rev_46,rev_47,rev_48,rev_49,rev_50,rev_51,rev_52,rev_53,rev_54,rev_55,rev_56,rev_57,rev_58,rev_59,rev_60,rev_61,rev_62,rev_63,rev_64,rev_65,rev_66,rev_67,rev_68,rev_69,rev_70,rev_71,rev_72,rev_73,rev_74,rev_75,rev_76,rev_77,rev_78,rev_79,rev_80,rev_81,rev_82,rev_83,doc_link,source_link
FileVault,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/macops/blob/8aea73892d7eb5fc1153205ee5fd08c964800847/README.md,https://github.com/google/macops/blob/8442745359c0c941cd4e4e7d243e43bd16b40dec/macdestroyer/postinstall#L4
GUI,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/macops/blob/8aea73892d7eb5fc1153205ee5fd08c964800847/README.md,https://github.com/google/macops/blob/8442745359c0c941cd4e4e7d243e43bd16b40dec/gmacpyutil/gmacpyutil/gmacpyutil.py#L866
OS,repo,README.md,0,0,0,0,0,0,0,4,4,4,5,5,5,5,5,5,9,9,10,10,11,11,13,13,21,21,21,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,36,36,37,37,37,37,37,37,37,37,44,43,43,43,43,43,40,40,40,35,35,36,36,36,36,36,36,36,36,36,36,36,36,36,36,35,35,35,34,38,38,https://github.com/google/macops/blob/8aea73892d7eb5fc1153205ee5fd08c964800847/README.md,https://github.com/google/macops/blob/8442745359c0c941cd4e4e7d243e43bd16b40dec/macdestroyer/fdeadduser.m#L6
PyMacAdmin,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/macops/blob/8aea73892d7eb5fc1153205ee5fd08c964800847/README.md,https://github.com/google/macops/blob/8442745359c0c941cd4e4e7d243e43bd16b40dec/gmacpyutil/gmacpyutil/systemconfig.py#L4
SecurityAgentPlugin,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/macops/blob/8aea73892d7eb5fc1153205ee5fd08c964800847/README.md,https://github.com/google/macops/blob/11cb55085ce5fbb52886c2ee4b03841bff993aed/keychainminder/Package/Makefile#L14
run_it,repo,README.md,-,-,-,2,2,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,https://github.com/google/macops/blob/8aea73892d7eb5fc1153205ee5fd08c964800847/README.md,https://github.com/google/macops/blob/8442745359c0c941cd4e4e7d243e43bd16b40dec/run_it/run_tests.sh#L3
