code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,doc_link,source_link
BuiltSet,repo,README.md,-,22,22,22,33,35,35,35,35,34,34,35,35,36,38,39,39,39,39,39,39,39,39,39,39,39,39,39,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/lib/test_enum.g.dart#L27
EnumClass,repo,README.md,-,32,32,32,37,42,42,48,48,48,48,50,50,51,51,51,50,50,50,50,50,50,50,50,50,50,50,50,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/lib/test_enum.dart#L11
String,repo,README.md,-,65,65,65,87,87,92,92,92,93,92,96,98,98,102,103,104,104,104,104,104,137,138,138,138,138,138,138,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/tool/watch.dart#L17
build.dart,repo,README.md,-,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,6,6,8,9,9,9,9,9,9,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/tool/watch.dart#L7
built_value,repo,README.md,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,8,5,5,5,5,5,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/d6d0a193f2155b4a7bf57c60303320524c1521c1/enum_class_generator/pubspec.yaml#L7
enum_class,repo,README.md,6,15,15,15,15,15,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/pubspec.yaml#L7
enum_class_generator,repo,README.md,-,8,8,8,8,8,9,9,9,7,7,7,7,7,7,7,7,7,8,8,8,19,21,21,21,21,21,21,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/tool/watch.dart#L8
name,repo,README.md,-,83,85,85,114,114,114,114,114,114,114,118,120,124,128,130,130,130,130,130,130,215,215,215,215,209,209,209,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/pubspec.yaml#L1
package:enum_class/enum_class.dart,repo,README.md,-,13,13,13,16,16,16,18,18,18,18,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/lib/test_enum.dart#L7
source_gen,repo,README.md,-,8,8,8,8,8,8,9,9,10,10,10,10,10,10,10,10,10,10,10,10,14,17,17,18,18,18,18,-,-,-,-,-,https://github.com/google/enum_class.dart/blob/d36e5bcd982e696122da36baf2f6fca32821ae44/README.md,https://github.com/google/enum_class.dart/blob/5c2e13ee7b3297d28d73bf02dd258885a3de416b/example/tool/watch.dart#L9
