code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,doc_link,source_link
API,repo,README.md,28,28,28,28,28,28,28,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/dataflow/pom.xml#L82
CPC,repo,README.md,3,3,5,5,5,5,6,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/dataflow/src/main/java/com/google/cse/mozart/examples/GCSInput.java#L126
CSV,repo,README.md,1,1,0,0,0,0,0,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/a1463ea9d5d0fdc6e10d1b1bbd510d6f660652d0/dataflow/src/main/java/com/google/cse/mozart/MozartProcessElements.java#L53
DAG,repo,README.md,6,6,6,6,6,6,6,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L14
DataFlow,repo,README.md,1,1,1,1,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L17
GCS,repo,README.md,-,12,11,11,11,11,11,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/dataflow/src/main/java/com/google/cse/mozart/Mozart.java#L117
ID,repo,README.md,-,12,13,13,17,17,17,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/dataflow/src/main/java/com/google/cse/mozart/Mozart.java#L41
JSON,repo,README.md,-,2,2,2,2,2,2,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/sa360_report_request_builder.py#L71
MozartProcessElements,repo,README.md,-,1,0,0,-,0,0,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/a1463ea9d5d0fdc6e10d1b1bbd510d6f660652d0/dataflow/src/main/java/com/google/cse/mozart/MozartProcessElements.java#L40
URI,repo,README.md,-,1,1,1,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/gcs_to_sftp_operator.py#L64
advertiserId,repo,README.md,-,-,-,-,11,11,11,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/sa360_report_request_builder_test.py#L64
dataflow_staging,repo,README.md,-,3,3,3,3,3,3,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L58
dataflow_template,repo,README.md,-,3,3,3,3,3,3,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L59
gcp_project,repo,README.md,-,3,3,3,3,3,3,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L56
gcp_zone,repo,README.md,-,3,3,3,3,3,3,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L57
gcs_bucket,repo,README.md,-,17,17,17,17,17,17,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/sa360_download_report_file_operator_test.py#L105
lookback_days,repo,README.md,-,9,9,9,9,9,9,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/sa360_create_report_operator.py#L34
sFTP,repo,README.md,7,7,8,8,9,9,9,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/dataflow/src/main/java/com/google/cse/mozart/Mozart.java#L61
sftpConnId,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L119
sftpHost,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L120
sftpPassword,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L123
sftpPort,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L121
sftpUsername,repo,README.md,-,-,-,-,1,1,1,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/mozart_dag.py#L122
start_date,repo,README.md,-,21,21,21,24,24,24,https://github.com/google/mozart/blob/462cc4fed4c5c9ea8c88e67cd5467cce4e29703c/README.md,https://github.com/google/mozart/blob/21cdfef70a8acb8814d17575f458c53285f7f51a/composer/sa360_report_request_builder_test.py#L85
