code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,doc_link,source_link
--input_path,repo,README.md,1,1,1,1,1,1,1,1,1,1,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/encoder_main.cc#L59
ABI,repo,README.md,2,2,2,2,2,2,2,2,-,-,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/7f967b991c77c466c42ee9854da0e2ed856b3e06/sparse_inference_matrixvector_test.cc#L16
API,repo,README.md,0,0,0,0,0,0,0,0,2,2,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/sparse_matmul/os/coop_threads.h#L55
APK,repo,README.md,2,2,2,2,2,2,2,2,2,3,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/android_example/java/com/example/android/lyra/MainActivity.java#L82
ARM,repo,README.md,0,0,0,0,0,0,0,0,13,13,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/sparse_matmul/os/coop_threads.cc#L51
CPU,repo,README.md,-,-,-,-,-,-,-,-,4,4,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/sparse_matmul/os/coop_threads.h#L105
Create,repo,README.md,174,174,174,174,174,174,174,174,174,174,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/wavegru_model_impl_test.cc#L35
DBENCHMARK,repo,README.md,0,0,0,1,1,1,1,1,1,1,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/.github/workflows/ci.yml#L16
DTX,repo,README.md,3,3,3,3,3,3,3,3,3,3,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/lyra_encoder.h#L73
DecodePacketLoss,repo,README.md,19,19,19,19,19,19,19,19,19,19,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/testing/mock_lyra_decoder.h#L40
DecodeSamples,repo,README.md,19,19,19,19,19,19,19,19,19,19,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/testing/mock_lyra_decoder.h#L37
DecodeSamples(int num_samples),repo,README.md,2,2,2,2,2,2,2,2,2,2,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/lyra_decoder_test.cc#L84
ERROR,repo,README.md,110,110,110,110,110,110,110,110,111,111,https://github.com/google/lyra/blob/4d759efcd7c79f8f5aa25714e971b353ea21d3f4/README.md,https://github.com/google/lyra/blob/630be3348651a4c160514c77c1c1cd68cd484b61/wavegru_model_impl.cc#L53
