code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,rev_19,rev_20,rev_21,rev_22,rev_23,rev_24,rev_25,rev_26,rev_27,rev_28,rev_29,rev_30,rev_31,rev_32,rev_33,rev_34,rev_35,doc_link,source_link
.flatten(),repo,README.md,19,20,20,20,20,20,20,20,22,22,22,22,22,22,23,23,23,23,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/mnist.py#L76
.sequential(),repo,README.md,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/templated_pretty_tensor_test.py#L72
API,repo,README.md,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/functions.py#L255
BATCH_SIZE,repo,README.md,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/shakespeare.py#L37
GradientDescentOptimizer(0.1),repo,README.md,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/local_trainer_test.py#L87
GraphKeys.TRAINABLE_VARIABLES,repo,README.md,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_test.py#L502
PrettyTensor,repo,README.md,68,125,125,125,125,125,125,125,127,127,129,129,129,129,129,130,130,167,168,168,168,177,259,259,259,259,259,259,259,259,259,259,259,259,259,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/templated_pretty_tensor_test.py#L11
RNN,repo,README.md,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/recurrent_networks.py#L283
TensorFlow,repo,README.md,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/shakespeare.py#L124
apply,repo,README.md,36,41,41,41,41,41,41,41,41,38,38,41,41,41,41,41,41,28,28,28,28,28,32,32,32,32,32,32,32,32,32,33,33,33,33,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/shakespeare.py#L91
defaults_scope,repo,README.md,16,19,19,19,19,19,19,19,19,19,19,19,19,19,19,21,21,23,25,25,25,26,34,34,34,34,34,34,34,34,34,34,34,34,34,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/shakespeare.py#L60
"fully_connected(10, activation_fn=None)",repo,README.md,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_class.py#L509
fully_connected(100),repo,README.md,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/mnist.py#L57
"fully_connected(200, activation_fn=tf.nn.relu)",repo,README.md,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_class.py#L508
initialize_all_variables(),repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,8,8,9,9,9,9,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/564941199cdef8a9c8a570de51e04ce860714ed1/prettytensor/replay_queue_test.py#L29
input_pt,repo,README.md,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/templated_pretty_tensor_test.py#L79
input_tensor,repo,README.md,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,20,20,20,20,20,20,20,20,20,20,20,20,20,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/templated_pretty_tensor_test.py#L33
label_tensor,repo,README.md,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_test.py#L238
leaky_relu,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_methods.py#L709
pretty_tensor,repo,README.md,12,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_class.py#L142
pt.GraphKeys.TEST_VARIABLES,repo,README.md,-,-,-,-,-,-,-,-,-,2,2,2,2,2,2,2,2,2,2,2,2,2,12,12,12,12,12,12,12,12,12,12,12,12,12,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_loss_methods.py#L613
pt.wrap,repo,README.md,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/tutorial/shakespeare.py#L207
"softmax(labels, name=softmax_name)",repo,README.md,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,https://github.com/google/prettytensor/blob/513cd34aebac6fea7c5a31af33eeb0c458b58421/README.md,https://github.com/google/prettytensor/blob/75daa0b11252590f548da5647addc0ea610c4c45/prettytensor/pretty_tensor_class.py#L510
