code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,rev_18,doc_link,source_link
API,repo,README.md,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/1a01de8a67819929bd2a0bdd4d273047c769a082/joint_vae.egg-info/PKG-INFO#L9
CELEBA,repo,README.md,-,-,-,-,-,9,9,9,9,9,9,9,8,8,8,8,8,8,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/scripts/process_and_write_celeba.sh#L18
CONTRIBUTING,repo,README.md,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/MANIFEST.in#L2
LICENSE,repo,README.md,54,52,53,53,46,45,45,45,45,45,45,45,45,45,45,45,45,45,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/setup.py#L8
MNIST,repo,README.md,-,-,-,-,-,45,45,45,45,45,45,45,45,45,45,45,45,45,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/scripts/create_affine_mnist.sh#L1
NOTE,repo,README.md,-,-,-,-,-,5,5,5,5,5,5,6,8,8,8,8,8,8,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/scripts/iclr_comp_mnista_fresh.sh#L98
VAE,repo,README.md,25,23,23,23,21,21,21,21,21,21,21,21,21,21,21,21,21,21,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/setup.py#L26
arXiv,repo,README.md,-,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,4,4,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/scripts/process_and_write_celeba.sh#L9
celeba_training.sh,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
cs.LG,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/joint_vae/bivcca_loss.py#L21
datasets/celeba/celeba_dataset.py,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
datasets/mnist_attributes/affine_mnist_dataset_comp.py,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
datasets/mnist_attributes/affine_mnist_dataset_iid.py,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
eval,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,25,25,25,25,25,25,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/scripts/iclr_mnista_fresh_imeval.sh#L68
experiments/iclr_results_aggregate.ipynb,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
iclr_comp_mnista_fresh.sh,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
iclr_mnista_fresh.sh,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
imeval,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,6,6,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/scripts/iclr_mnista_fresh.sh#L114
scripts/create_affine_mnist.sh,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
scripts/process_and_write_celeba.sh,repo,README.md,-,-,-,-,-,1,1,1,1,1,1,1,1,1,1,1,1,1,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,code_element is a file name
train,repo,README.md,-,-,-,-,-,-,-,-,-,-,-,-,170,170,170,170,170,170,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/README.md,https://github.com/google/joint_vae/blob/984f456d1a38c6b27e23433aef241dea56f53384/utils/data_utils.py#L276
