code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,rev_10,rev_11,rev_12,rev_13,rev_14,rev_15,rev_16,rev_17,doc_link,source_link
.build(),repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,2,2,2,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hover/src/main/java/io/mattcarroll/hover/defaulthovermenu/window/HoverMenuService.java#L72
.displayWithinWindow(),repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,1,1,1,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hover/src/main/java/io/mattcarroll/hover/defaulthovermenu/window/HoverMenuService.java#L68
@NonNull,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,257,257,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L34
@Nullable,repo,README.md,.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71,71,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/DemoTabView.java#L66
@Override,repo,README.md,.,-,-,-,-,-,-,107,107,107,107,107,166,166,187,311,311,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L39
ANY,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,79,79,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L12
API,repo,README.md,.,-,-,-,-,-,-,0,0,0,0,0,1,1,1,1,1,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hover/src/main/java/io/mattcarroll/hover/ContentDisplay.java#L180
AS,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,80,80,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L11
Adapter,repo,README.md,.,-,-,-,-,-,-,2,2,2,2,2,4,4,5,-,-,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/09c184b488f82be9a0bc408f27e7717226b9c2e2/hoverdemo/src/main/java/io/mattcarroll/hover/hoverdemo/appstate/AppStateAdapter.java#L33
BASIS,repo,README.md,.,2,2,2,2,2,2,2,2,2,2,43,57,57,59,79,79,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/README.md,https://github.com/google/hover/blob/4242c499cf304dc88aaedbcfc61ef4bbaf8eaa0c/hoverdemo-nonfullscreen/src/main/java/io/mattcarroll/hoverdemo/nonfullscreen/NonFullscreenContent.java#L11
