code_element,page_type,page_name,rev_1,rev_2,rev_3,rev_4,rev_5,rev_6,rev_7,rev_8,rev_9,doc_link,source_link
API,repo,README.md,5,5,5,5,5,5,5,5,5,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L34
GCP,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L62
GitHub,repo,README.md,6,6,6,6,6,6,6,6,6,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/CONTRIBUTING.md#L22
HTTP,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-http/main.py#L15
ID,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L62
JSON,repo,README.md,16,16,16,16,16,16,16,16,16,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L58
SENDGRID_API_KEY,repo,README.md,4,4,4,4,4,4,4,4,4,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L115
from_address,repo,README.md,21,21,21,21,21,21,21,21,21,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L74
plain_text_content,repo,README.md,19,19,19,19,19,19,19,19,19,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L108
project_id,repo,README.md,15,15,15,15,15,15,15,15,15,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L63
secret_version,repo,README.md,15,15,15,15,15,15,15,15,15,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L123
sendgrid_http,repo,README.md,3,3,3,3,3,3,3,3,3,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-http/main.py#L15
sendgrid_pubsub,repo,README.md,2,2,2,2,2,2,2,2,2,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L39
to_address,repo,README.md,21,21,21,21,21,21,21,21,21,https://github.com/google/secret-manager-with-sendgrid/blob/5eff92b9b9dd21172ab8213fe0a6a7ac4d577e55/README.md,https://github.com/google/secret-manager-with-sendgrid/blob/04f2b228b501a1e1f5e1b85a98a59e253b05ebab/sendgrid-pubsub/main.py#L85
